Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5112414273,MLB $2.5K Quarter Jukebox [Just $0.25!],189599782,$0.25,,,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
5112414274,MLB $2.5K Quarter Jukebox [Just $0.25!],189599782,$0.25,,,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
5112414275,MLB $2.5K Quarter Jukebox [Just $0.25!],189599782,$0.25,,,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5112414276,MLB $2.5K Quarter Jukebox [Just $0.25!],189599782,$0.25,,,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5112414277,MLB $2.5K Quarter Jukebox [Just $0.25!],189599782,$0.25,,,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
5112414278,MLB $2.5K Quarter Jukebox [Just $0.25!],189599782,$0.25,,,,,,,,,,,,
5112414279,MLB $2.5K Quarter Jukebox [Just $0.25!],189599782,$0.25,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5112406858,MLB $300 Dime Time [Just $0.10!],189615681,$0.10,,,,,,,,,,,,SP,Edward Cabrera (42615243),Edward Cabrera,42615243,P,8800,PIT@CHC 04/12/2026 02:20PM ET,CHC,16.7
5112406859,MLB $300 Dime Time [Just $0.10!],189615681,$0.10,,,,,,,,,,,,SP,Shane McClanahan (42615244),Shane McClanahan,42615244,P,8700,NYY@TB 04/12/2026 01:40PM ET,TB,11.75
5112406860,MLB $300 Dime Time [Just $0.10!],189615681,$0.10,,,,,,,,,,,,SP,Chad Patrick (42615245),Chad Patrick,42615245,P,8700,WSH@MIL 04/12/2026 02:10PM ET,MIL,11.18
5112406861,MLB $300 Dime Time [Just $0.10!],189615681,$0.10,,,,,,,,,,,,SP,Cam Schlittler (42614728),Cam Schlittler,42614728,P,8600,NYY@TB 04/12/2026 01:40PM ET,NYY,26.23
5112406862,MLB $300 Dime Time [Just $0.10!],189615681,$0.10,,,,,,,,,,,,SP,Carlos Rodon (42615247),Carlos Rodon,42615247,P,8600,NYY@TB 04/12/2026 01:40PM ET,NYY,0
5112406863,MLB $300 Dime Time [Just $0.10!],189615681,$0.10,,,,,,,,,,,,SP,Tylor Megill (42615246),Tylor Megill,42615246,P,8600,ATH@NYM 04/12/2026 01:40PM ET,NYM,0
5112406864,MLB $300 Dime Time [Just $0.10!],189615681,$0.10,,,,,,,,,,,,SP,Robbie Ray (42615251),Robbie Ray,42615251,P,8500,SF@BAL 04/12/2026 01:35PM ET,SF,21.6
5112406865,MLB $300 Dime Time [Just $0.10!],189615681,$0.10,,,,,,,,,,,,RP,Aaron Nola (42615248),Aaron Nola,42615248,P,8500,ARI@PHI 04/12/2026 01:35PM ET,PHI,18.53
5112406866,MLB $300 Dime Time [Just $0.10!],189615681,$0.10,,,,,,,,,,,,RP,Kyle Harrison (42615252),Kyle Harrison,42615252,P,8500,WSH@MIL 04/12/2026 02:10PM ET,MIL,15.6
5112406867,MLB $300 Dime Time [Just $0.10!],189615681,$0.10,,,,,,,,,,,,SP,Shota Imanaga (42615249),Shota Imanaga,42615249,P,8500,PIT@CHC 04/12/2026 02:20PM ET,CHC,19.4
5112406868,MLB $300 Dime Time [Just $0.10!],189615681,$0.10,,,,,,,,,,,,SP,Justin Steele (42615250),Justin Steele,42615250,P,8500,PIT@CHC 04/12/2026 02:20PM ET,CHC,0
5112414215,MLB $300 Dime Time [Just $0.10!],189616079,$0.10,,,,,,,,,,,,RP,Jose Soriano (42614729),Jose Soriano,42614729,P,8400,LAA@CIN 04/12/2026 01:40PM ET,LAA,29.73
5112414216,MLB $300 Dime Time [Just $0.10!],189616079,$0.10,,,,,,,,,,,,SP,Hunter Greene (42615254),Hunter Greene,42615254,P,8400,LAA@CIN 04/12/2026 01:40PM ET,CIN,0
5112414217,MLB $300 Dime Time [Just $0.10!],189616079,$0.10,,,,,,,,,,,,SP,Cole Ragans (42615253),Cole Ragans,42615253,P,8400,CWS@KC 04/12/2026 02:10PM ET,KC,9.73
5112414218,MLB $300 Dime Time [Just $0.10!],189616079,$0.10,,,,,,,,,,,,RP,Framber Valdez (42615255),Framber Valdez,42615255,P,8300,MIA@DET 04/12/2026 01:40PM ET,DET,10.88
5112414219,MLB $300 Dime Time [Just $0.10!],189616079,$0.10,,,,,,,,,,,,SP,Kris Bubic (42615256),Kris Bubic,42615256,P,8300,CWS@KC 04/12/2026 02:10PM ET,KC,25.17
5112414220,MLB $300 Dime Time [Just $0.10!],189616079,$0.10,,,,,,,,,,,,SP,Max Meyer (42615259),Max Meyer,42615259,P,8200,MIA@DET 04/12/2026 01:40PM ET,MIA,14.33
5112414221,MLB $300 Dime Time [Just $0.10!],189616079,$0.10,,,,,,,,,,,,SP,Michael Wacha (42615257),Michael Wacha,42615257,P,8200,CWS@KC 04/12/2026 02:10PM ET,KC,25.88
5112414222,MLB $300 Dime Time [Just $0.10!],189616079,$0.10,,,,,,,,,,,,RP,Seth Lugo (42615258),Seth Lugo,42615258,P,8200,CWS@KC 04/12/2026 02:10PM ET,KC,18.12
5112414223,MLB $300 Dime Time [Just $0.10!],189616079,$0.10,,,,,,,,,,,,SP,Joe Ryan (42615260),Joe Ryan,42615260,P,8100,MIN@TOR 04/12/2026 01:37PM ET,MIN,17.05
5112414224,MLB $300 Dime Time [Just $0.10!],189616079,$0.10,,,,,,,,,,,,SP,Jack Flaherty (42615262),Jack Flaherty,42615262,P,8100,MIA@DET 04/12/2026 01:40PM ET,DET,9.3
5112414225,MLB $300 Dime Time [Just $0.10!],189616079,$0.10,,,,,,,,,,,,SP,Ranger Suarez (42615261),Ranger Suarez,42615261,P,8100,BOS@STL 04/12/2026 02:15PM ET,BOS,9.88
5112414226,MLB $300 Dime Time [Just $0.10!],189616079,$0.10,,,,,,,,,,,,SP,Sonny Gray (42615263),Sonny Gray,42615263,P,8100,BOS@STL 04/12/2026 02:15PM ET,BOS,15.05
5112414227,MLB $300 Dime Time [Just $0.10!],189616079,$0.10,,,,,,,,,,,,RP,Eric Lauer (42615266),Eric Lauer,42615266,P,8000,MIN@TOR 04/12/2026 01:37PM ET,TOR,7.5
5112414228,MLB $300 Dime Time [Just $0.10!],189616079,$0.10,,,,,,,,,,,,SP,Pablo Lopez (42615267),Pablo Lopez,42615267,P,8000,MIN@TOR 04/12/2026 01:37PM ET,MIN,0
5112414229,MLB $300 Dime Time [Just $0.10!],189616079,$0.10,,,,,,,,,,,,SP,Trevor Rogers (42615264),Trevor Rogers,42615264,P,8000,SF@BAL 04/12/2026 01:35PM ET,BAL,19.38
5112414230,MLB $300 Dime Time [Just $0.10!],189616079,$0.10,,,,,,,,,,,,SP,Kyle Bradish (42615265),Kyle Bradish,42615265,P,8000,SF@BAL 04/12/2026 01:35PM ET,BAL,12.98
5112414231,MLB $300 Dime Time [Just $0.10!],189616079,$0.10,,,,,,,,,,,,RP,Bubba Chandler (42614730),Bubba Chandler,42614730,P,8000,PIT@CHC 04/12/2026 02:20PM ET,PIT,12.25
5112414232,MLB $300 Dime Time [Just $0.10!],189616079,$0.10,,,,,,,,,,,,SP,Casey Mize (42615269),Casey Mize,42615269,P,7900,MIA@DET 04/12/2026 01:40PM ET,DET,16.07
5112414233,MLB $300 Dime Time [Just $0.10!],189616079,$0.10,,,,,,,,,,,,SP,Shane Baz (42615273),Shane Baz,42615273,P,7900,SF@BAL 04/12/2026 01:35PM ET,BAL,10.8
5112414234,MLB $300 Dime Time [Just $0.10!],189616079,$0.10,,,,,,,,,,,,RP,Joe Boyle (42615271),Joe Boyle,42615271,P,7900,NYY@TB 04/12/2026 01:40PM ET,TB,13.02
,,,,,,,,,,,,,,,RP,Ian Seymour (42615274),Ian Seymour,42615274,P,7900,NYY@TB 04/12/2026 01:40PM ET,TB,2.27
,,,,,,,,,,,,,,,SP,Will Warren (42615275),Will Warren,42615275,P,7900,NYY@TB 04/12/2026 01:40PM ET,NYY,14.53
,,,,,,,,,,,,,,,RP,Ryan Weathers (42615276),Ryan Weathers,42615276,P,7900,NYY@TB 04/12/2026 01:40PM ET,NYY,16.27
,,,,,,,,,,,,,,,SP,Reid Detmers (42615268),Reid Detmers,42615268,P,7900,LAA@CIN 04/12/2026 01:40PM ET,LAA,13.35
,,,,,,,,,,,,,,,SP,Merrill Kelly (42615277),Merrill Kelly,42615277,P,7900,ARI@PHI 04/12/2026 01:35PM ET,ARI,0
,,,,,,,,,,,,,,,RP,Jake Woodford (42615270),Jake Woodford,42615270,P,7900,WSH@MIL 04/12/2026 02:10PM ET,MIL,4.36
,,,,,,,,,,,,,,,SP,Brandon Sproat (42615272),Brandon Sproat,42615272,P,7900,WSH@MIL 04/12/2026 02:10PM ET,MIL,1.62
,,,,,,,,,,,,,,,SP,Trey Yesavage (42615281),Trey Yesavage,42615281,P,7800,MIN@TOR 04/12/2026 01:37PM ET,TOR,0
,,,,,,,,,,,,,,,RP,Janson Junk (42615282),Janson Junk,42615282,P,7800,MIA@DET 04/12/2026 01:40PM ET,MIA,10.97
,,,,,,,,,,,,,,,SP,Steven Matz (42615278),Steven Matz,42615278,P,7800,NYY@TB 04/12/2026 01:40PM ET,TB,19.47
,,,,,,,,,,,,,,,RP,Nick Martinez (42615279),Nick Martinez,42615279,P,7800,NYY@TB 04/12/2026 01:40PM ET,TB,13.97
,,,,,,,,,,,,,,,SP,Ryan Pepiot (42615280),Ryan Pepiot,42615280,P,7800,NYY@TB 04/12/2026 01:40PM ET,TB,0
,,,,,,,,,,,,,,,SP,Andrew Painter (42614731),Andrew Painter,42614731,P,7800,ARI@PHI 04/12/2026 01:35PM ET,PHI,12
,,,,,,,,,,,,,,,RP,Braxton Ashcraft (42615283),Braxton Ashcraft,42615283,P,7800,PIT@CHC 04/12/2026 02:20PM ET,PIT,21.35
,,,,,,,,,,,,,,,SP,Max Scherzer (42614732),Max Scherzer,42614732,P,7700,MIN@TOR 04/12/2026 01:37PM ET,TOR,11.6
,,,,,,,,,,,,,,,SP,Jose Berrios (42615295),Jose Berrios,42615295,P,7700,MIN@TOR 04/12/2026 01:37PM ET,TOR,0
,,,,,,,,,,,,,,,RP,Landen Roupp (42615284),Landen Roupp,42615284,P,7700,SF@BAL 04/12/2026 01:35PM ET,SF,19.37
,,,,,,,,,,,,,,,RP,Ryan Yarbrough (42615288),Ryan Yarbrough,42615288,P,7700,NYY@TB 04/12/2026 01:40PM ET,NYY,4.5
,,,,,,,,,,,,,,,SP,Clarke Schmidt (42615293),Clarke Schmidt,42615293,P,7700,NYY@TB 04/12/2026 01:40PM ET,NYY,0
,,,,,,,,,,,,,,,SP,Luis Gil (42615296),Luis Gil,42615296,P,7700,NYY@TB 04/12/2026 01:40PM ET,NYY,2.8
,,,,,,,,,,,,,,,SP,Rhett Lowder (42615290),Rhett Lowder,42615290,P,7700,LAA@CIN 04/12/2026 01:40PM ET,CIN,12.92
,,,,,,,,,,,,,,,SP,Brady Singer (42615294),Brady Singer,42615294,P,7700,LAA@CIN 04/12/2026 01:40PM ET,CIN,5.75
,,,,,,,,,,,,,,,SP,Michael Soroka (42615291),Michael Soroka,42615291,P,7700,ARI@PHI 04/12/2026 01:35PM ET,ARI,23.35
,,,,,,,,,,,,,,,SP,Eduardo Rodriguez (42615292),Eduardo Rodriguez,42615292,P,7700,ARI@PHI 04/12/2026 01:35PM ET,ARI,17.9
,,,,,,,,,,,,,,,SP,Connelly Early (42615289),Connelly Early,42615289,P,7700,BOS@STL 04/12/2026 02:15PM ET,BOS,13.18
,,,,,,,,,,,,,,,SP,Matthew Boyd (42615297),Matthew Boyd,42615297,P,7700,PIT@CHC 04/12/2026 02:20PM ET,CHC,19.2
,,,,,,,,,,,,,,,SP,Christian Scott (42615285),Christian Scott,42615285,P,7700,ATH@NYM 04/12/2026 01:40PM ET,NYM,0
,,,,,,,,,,,,,,,SP,Tobias Myers (42615286),Tobias Myers,42615286,P,7700,ATH@NYM 04/12/2026 01:40PM ET,NYM,5.31
,,,,,,,,,,,,,,,SP,Sean Manaea (42615287),Sean Manaea,42615287,P,7700,ATH@NYM 04/12/2026 01:40PM ET,NYM,5.55
,,,,,,,,,,,,,,,SP,Carson Whisenhunt (42615300),Carson Whisenhunt,42615300,P,7600,SF@BAL 04/12/2026 01:35PM ET,SF,0
,,,,,,,,,,,,,,,SP,Noah Cameron (42614733),Noah Cameron,42614733,P,7600,CWS@KC 04/12/2026 02:10PM ET,KC,18.4
,,,,,,,,,,,,,,,SP,Jonah Tong (42615298),Jonah Tong,42615298,P,7600,ATH@NYM 04/12/2026 01:40PM ET,NYM,0
,,,,,,,,,,,,,,,SP,David Peterson (42615299),David Peterson,42615299,P,7600,ATH@NYM 04/12/2026 01:40PM ET,NYM,8.27
,,,,,,,,,,,,,,,SP,Shane Bieber (42615302),Shane Bieber,42615302,P,7500,MIN@TOR 04/12/2026 01:37PM ET,TOR,0
,,,,,,,,,,,,,,,SP,Tyler Mahle (42615306),Tyler Mahle,42615306,P,7500,SF@BAL 04/12/2026 01:35PM ET,SF,11.73
,,,,,,,,,,,,,,,SP,Nick Lodolo (42615303),Nick Lodolo,42615303,P,7500,LAA@CIN 04/12/2026 01:40PM ET,CIN,0
,,,,,,,,,,,,,,,SP,Jameson Taillon (42614734),Jameson Taillon,42614734,P,7500,PIT@CHC 04/12/2026 02:20PM ET,CHC,12.1
,,,,,,,,,,,,,,,SP,Jared Jones (42615301),Jared Jones,42615301,P,7500,PIT@CHC 04/12/2026 02:20PM ET,PIT,0
,,,,,,,,,,,,,,,SP,Cade Horton (42615304),Cade Horton,42615304,P,7500,PIT@CHC 04/12/2026 02:20PM ET,CHC,10.45
,,,,,,,,,,,,,,,SP,Mitch Keller (42615305),Mitch Keller,42615305,P,7500,PIT@CHC 04/12/2026 02:20PM ET,PIT,17.43
,,,,,,,,,,,,,,,RP,Jeffrey Springs (42615307),Jeffrey Springs,42615307,P,7500,ATH@NYM 04/12/2026 01:40PM ET,ATH,21.62
,,,,,,,,,,,,,,,SP,Zac Gallen (42614735),Zac Gallen,42614735,P,7400,ARI@PHI 04/12/2026 01:35PM ET,ARI,11.25
,,,,,,,,,,,,,,,SP,Brandon Pfaadt (42615309),Brandon Pfaadt,42615309,P,7400,ARI@PHI 04/12/2026 01:35PM ET,ARI,7.7
,,,,,,,,,,,,,,,SP,Quinn Priester (42615308),Quinn Priester,42615308,P,7400,WSH@MIL 04/12/2026 02:10PM ET,MIL,0
,,,,,,,,,,,,,,,SP,Cody Ponce (42615311),Cody Ponce,42615311,P,7300,MIN@TOR 04/12/2026 01:37PM ET,TOR,8.05
,,,,,,,,,,,,,,,SP,Chris Bassitt (42615310),Chris Bassitt,42615310,P,7300,SF@BAL 04/12/2026 01:35PM ET,BAL,-1.55
,,,,,,,,,,,,,,,SP,Brayan Bello (42614736),Brayan Bello,42614736,P,7300,BOS@STL 04/12/2026 02:15PM ET,BOS,2
,,,,,,,,,,,,,,,SP,Taj Bradley (42614737),Taj Bradley,42614737,P,7200,MIN@TOR 04/12/2026 01:37PM ET,MIN,24.5
,,,,,,,,,,,,,,,SP,Zebby Matthews (42615315),Zebby Matthews,42615315,P,7200,MIN@TOR 04/12/2026 01:37PM ET,MIN,0
,,,,,,,,,,,,,,,SP,Jack Kochanowicz (42615312),Jack Kochanowicz,42615312,P,7200,LAA@CIN 04/12/2026 01:40PM ET,LAA,14.97
,,,,,,,,,,,,,,,SP,Michael McGreevy (42615314),Michael McGreevy,42615314,P,7200,BOS@STL 04/12/2026 02:15PM ET,STL,15.23
,,,,,,,,,,,,,,,RP,Jacob Lopez (42615313),Jacob Lopez,42615313,P,7200,ATH@NYM 04/12/2026 01:40PM ET,ATH,5.53
,,,,,,,,,,,,,,,SP,Simeon Woods Richardson (42615317),Simeon Woods Richardson,42615317,P,7100,MIN@TOR 04/12/2026 01:37PM ET,MIN,7.75
,,,,,,,,,,,,,,,SP,Bailey Ober (42615318),Bailey Ober,42615318,P,7100,MIN@TOR 04/12/2026 01:37PM ET,MIN,7.52
,,,,,,,,,,,,,,,SP,Mick Abel (42615319),Mick Abel,42615319,P,7100,MIN@TOR 04/12/2026 01:37PM ET,MIN,6.67
,,,,,,,,,,,,,,,SP,Reese Olson (42615316),Reese Olson,42615316,P,7100,MIA@DET 04/12/2026 01:40PM ET,DET,0
,,,,,,,,,,,,,,,SP,Drew Rasmussen (42614738),Drew Rasmussen,42614738,P,7100,NYY@TB 04/12/2026 01:40PM ET,TB,17.15
,,,,,,,,,,,,,,,SP,Justin Verlander (42615322),Justin Verlander,42615322,P,7000,MIA@DET 04/12/2026 01:40PM ET,DET,-4.55
,,,,,,,,,,,,,,,SP,Zach Eflin (42615321),Zach Eflin,42615321,P,7000,SF@BAL 04/12/2026 01:35PM ET,BAL,16.65
,,,,,,,,,,,,,,,SP,Taijuan Walker (42615324),Taijuan Walker,42615324,P,7000,ARI@PHI 04/12/2026 01:35PM ET,PHI,6.73
,,,,,,,,,,,,,,,RP,Andre Pallante (42614739),Andre Pallante,42614739,P,7000,BOS@STL 04/12/2026 02:15PM ET,STL,12.35
,,,,,,,,,,,,,,,SP,Foster Griffin (42615320),Foster Griffin,42615320,P,7000,WSH@MIL 04/12/2026 02:10PM ET,WSH,16.57
,,,,,,,,,,,,,,,RP,Carmen Mlodzinski (42615323),Carmen Mlodzinski,42615323,P,7000,PIT@CHC 04/12/2026 02:20PM ET,PIT,13.48
,,,,,,,,,,,,,,,SP,Chase Petty (42615330),Chase Petty,42615330,P,6900,LAA@CIN 04/12/2026 01:40PM ET,CIN,0
,,,,,,,,,,,,,,,SP,Brandon Williamson (42615331),Brandon Williamson,42615331,P,6900,LAA@CIN 04/12/2026 01:40PM ET,CIN,9.1
,,,,,,,,,,,,,,,SP,Alex McFarlane (42615325),Alex McFarlane,42615325,P,6900,ARI@PHI 04/12/2026 01:35PM ET,PHI,0
,,,,,,,,,,,,,,,RP,Seth Johnson (42615326),Seth Johnson,42615326,P,6900,ARI@PHI 04/12/2026 01:35PM ET,PHI,0
,,,,,,,,,,,,,,,RP,Jonathan Bowlan (42615327),Jonathan Bowlan,42615327,P,6900,ARI@PHI 04/12/2026 01:35PM ET,PHI,3.34
,,,,,,,,,,,,,,,SP,Yilber Diaz (42615328),Yilber Diaz,42615328,P,6900,ARI@PHI 04/12/2026 01:35PM ET,ARI,0
,,,,,,,,,,,,,,,SP,Ryne Nelson (42615329),Ryne Nelson,42615329,P,6900,ARI@PHI 04/12/2026 01:35PM ET,ARI,12.72
,,,,,,,,,,,,,,,SP,Marco Raya (42615339),Marco Raya,42615339,P,6800,MIN@TOR 04/12/2026 01:37PM ET,MIN,0
,,,,,,,,,,,,,,,RP,Matt Bowman (42615340),Matt Bowman,42615340,P,6800,MIN@TOR 04/12/2026 01:37PM ET,MIN,0
,,,,,,,,,,,,,,,SP,David Festa (42615343),David Festa,42615343,P,6800,MIN@TOR 04/12/2026 01:37PM ET,MIN,0
,,,,,,,,,,,,,,,RP,Carson Seymour (42615332),Carson Seymour,42615332,P,6800,SF@BAL 04/12/2026 01:35PM ET,SF,0
,,,,,,,,,,,,,,,SP,Keaton Winn (42615333),Keaton Winn,42615333,P,6800,SF@BAL 04/12/2026 01:35PM ET,SF,2.66
,,,,,,,,,,,,,,,SP,Blade Tidwell (42615334),Blade Tidwell,42615334,P,6800,SF@BAL 04/12/2026 01:35PM ET,SF,3.98
,,,,,,,,,,,,,,,SP,Dylan Smith (42615335),Dylan Smith,42615335,P,6800,SF@BAL 04/12/2026 01:35PM ET,SF,0
,,,,,,,,,,,,,,,RP,Jose Butto (42615336),Jose Butto,42615336,P,6800,SF@BAL 04/12/2026 01:35PM ET,SF,-0.5
,,,,,,,,,,,,,,,RP,Spencer Bivens (42615337),Spencer Bivens,42615337,P,6800,SF@BAL 04/12/2026 01:35PM ET,SF,0
,,,,,,,,,,,,,,,RP,Tristan Beck (42615338),Tristan Beck,42615338,P,6800,SF@BAL 04/12/2026 01:35PM ET,SF,0
,,,,,,,,,,,,,,,RP,Hayden Birdsong (42615342),Hayden Birdsong,42615342,P,6800,SF@BAL 04/12/2026 01:35PM ET,SF,0
,,,,,,,,,,,,,,,RP,Aaron Civale (42614740),Aaron Civale,42614740,P,6800,ATH@NYM 04/12/2026 01:40PM ET,ATH,15.95
,,,,,,,,,,,,,,,RP,Jack Perkins (42615341),Jack Perkins,42615341,P,6800,ATH@NYM 04/12/2026 01:40PM ET,ATH,13.45
,,,,,,,,,,,,,,,SP,Patrick Corbin (42615355),Patrick Corbin,42615355,P,6700,MIN@TOR 04/12/2026 01:37PM ET,TOR,1.6
,,,,,,,,,,,,,,,RP,Mason Fluharty (42615364),Mason Fluharty,42615364,P,6700,MIN@TOR 04/12/2026 01:37PM ET,TOR,1.19
,,,,,,,,,,,,,,,RP,JT Brubaker (42615354),JT Brubaker,42615354,P,6700,SF@BAL 04/12/2026 01:35PM ET,SF,2.45
,,,,,,,,,,,,,,,SP,Andrew Abbott (42614741),Andrew Abbott,42614741,P,6700,LAA@CIN 04/12/2026 01:40PM ET,CIN,11.28
,,,,,,,,,,,,,,,SP,Grayson Rodriguez (42615368),Grayson Rodriguez,42615368,P,6700,LAA@CIN 04/12/2026 01:40PM ET,LAA,0
,,,,,,,,,,,,,,,SP,George Klassen (42615369),George Klassen,42615369,P,6700,LAA@CIN 04/12/2026 01:40PM ET,LAA,-1.15
,,,,,,,,,,,,,,,SP,Alek Manoah (42615370),Alek Manoah,42615370,P,6700,LAA@CIN 04/12/2026 01:40PM ET,LAA,0
