Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL
5102627340,NBA $250 Dime Time [Just $0.10!],189363656,$0.10 ,Josh Giddey (42481492),Kam Jones (42482083),Josh Hart (42481598),Nikola Jovic (42482129),Bam Adebayo (42481516),Collin Sexton (42481749),Scottie Barnes (42481503),Sandro Mamukelashvili (42481899)
5102634075,NBA $0.25 Winner Take All [$50 to 1st],189363949,$0.25 ,Jamal Shead (42481767),Tyler Herro (42481539),Josh Hart (42481598),Nikola Jovic (42482129),Sandro Mamukelashvili (42481899),Collin Sexton (42481749),Jayson Tatum (42481518),Scottie Barnes (42481503)
5102634076,NBA $0.25 Winner Take All [$50 to 1st],189363949,$0.25 ,Jamal Shead (42481767),Tyler Herro (42481539),Josh Hart (42481598),Nikola Jovic (42482129),Sandro Mamukelashvili (42481899),Collin Sexton (42481749),Jayson Tatum (42481518),Scottie Barnes (42481503)
5102634077,NBA $0.25 Winner Take All [$50 to 1st],189363949,$0.25 ,Tre Jones (42481689),Collin Sexton (42481749),Matas Buzelis (42481571),Jayson Tatum (42481518),Bam Adebayo (42481516),Josh Hart (42481598),Nikola Jovic (42482129),Sandro Mamukelashvili (42481899)
5102634078,NBA $0.25 Winner Take All [$50 to 1st],189363949,$0.25 ,Josh Giddey (42481492),Kam Jones (42482083),Josh Hart (42481598),Nikola Jovic (42482129),Bam Adebayo (42481516),Collin Sexton (42481749),Scottie Barnes (42481503),Sandro Mamukelashvili (42481899)
5102634079,NBA $0.25 Winner Take All [$50 to 1st],189363949,$0.25 ,Jamal Shead (42481767),Tyler Herro (42481539),Josh Hart (42481598),Nikola Jovic (42482129),Sandro Mamukelashvili (42481899),Collin Sexton (42481749),Jayson Tatum (42481518),Scottie Barnes (42481503)
5102634080,NBA $0.25 Winner Take All [$50 to 1st],189363949,$0.25 ,Tre Jones (42481689),Collin Sexton (42481749),Matas Buzelis (42481571),Jayson Tatum (42481518),Bam Adebayo (42481516),Josh Hart (42481598),Nikola Jovic (42482129),Sandro Mamukelashvili (42481899)
5102634081,NBA $0.25 Winner Take All [$50 to 1st],189363949,$0.25 ,Josh Giddey (42481492),Kam Jones (42482083),Josh Hart (42481598),Nikola Jovic (42482129),Bam Adebayo (42481516),Collin Sexton (42481749),Scottie Barnes (42481503),Sandro Mamukelashvili (42481899)
5102634042,NBA $1 Winner Take All [$100 to 1st],189364023,$1 ,Jamal Shead (42481767),Tyler Herro (42481539),Josh Hart (42481598),Nikola Jovic (42482129),Sandro Mamukelashvili (42481899),Collin Sexton (42481749),Jayson Tatum (42481518),Scottie Barnes (42481503)
5102634043,NBA $1 Winner Take All [$100 to 1st],189364023,$1 ,Tre Jones (42481689),Collin Sexton (42481749),Matas Buzelis (42481571),Jayson Tatum (42481518),Bam Adebayo (42481516),Josh Hart (42481598),Nikola Jovic (42482129),Sandro Mamukelashvili (42481899)
5102634044,NBA $1 Winner Take All [$100 to 1st],189364023,$1 ,Josh Giddey (42481492),Kam Jones (42482083),Josh Hart (42481598),Nikola Jovic (42482129),Bam Adebayo (42481516),Collin Sexton (42481749),Scottie Barnes (42481503),Sandro Mamukelashvili (42481899)
,,,,,,,,,,,
