Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
5123333762,NBA $2K Quarter Jukebox [Just $0.25!],189908129,$0.25,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
5123333763,NBA $2K Quarter Jukebox [Just $0.25!],189908129,$0.25,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
5123333764,NBA $2K Quarter Jukebox [Just $0.25!],189908129,$0.25,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5123333765,NBA $2K Quarter Jukebox [Just $0.25!],189908129,$0.25,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5123333766,NBA $2K Quarter Jukebox [Just $0.25!],189908129,$0.25,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
5123333767,NBA $2K Quarter Jukebox [Just $0.25!],189908129,$0.25,,,,,,,,,,
5123333768,NBA $2K Quarter Jukebox [Just $0.25!],189908129,$0.25,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5123333781,NBA $2K Quarter Jukebox [Just $0.25!],189908129,$0.25,,,,,,,,,,SG,Jalen Green (42742251),Jalen Green,42742251,SG/G/UTIL,7600,OKC@PHX 04/25/2026 03:30PM ET,PHX,30.59
5123329667,NBA $20K mini-MAX [150 Max Entry],189908132,$0.50,,,,,,,,,,SF,Jalen Williams (42742254),Jalen Williams,42742254,SF/F/UTIL,7600,OKC@PHX 04/25/2026 03:30PM ET,OKC,33.57
5123329668,NBA $20K mini-MAX [150 Max Entry],189908132,$0.50,,,,,,,,,,PF,Julius Randle (42742257),Julius Randle,42742257,PF/F/UTIL,7200,DEN@MIN 04/25/2026 08:30PM ET,MIN,39.23
5123329669,NBA $20K mini-MAX [150 Max Entry],189908132,$0.50,,,,,,,,,,SG,Desmond Bane (42742260),Desmond Bane,42742260,SG/G/UTIL,7100,DET@ORL 04/25/2026 01:00PM ET,ORL,34.39
5123329670,NBA $20K mini-MAX [150 Max Entry],189908132,$0.50,,,,,,,,,,PG,Jalen Suggs (42742267),Jalen Suggs,42742267,PG/G/UTIL,6900,DET@ORL 04/25/2026 01:00PM ET,ORL,31.70
5123329671,NBA $20K mini-MAX [150 Max Entry],189908132,$0.50,,,,,,,,,,PG/SG,CJ McCollum (42742263),CJ McCollum,42742263,PG/SG/G/UTIL,6900,NYK@ATL 04/25/2026 06:00PM ET,ATL,31.98
5123329672,NBA $20K mini-MAX [150 Max Entry],189908132,$0.50,,,,,,,,,,PG/SG,Nickeil Alexander-Walker (42742270),Nickeil Alexander-Walker,42742270,PG/SG/G/UTIL,6700,NYK@ATL 04/25/2026 06:00PM ET,ATL,34.61
5123329673,NBA $20K mini-MAX [150 Max Entry],189908132,$0.50,,,,,,,,,,SG/SF,Josh Hart (42742274),Josh Hart,42742274,SG/SF/F/G/UTIL,6600,NYK@ATL 04/25/2026 06:00PM ET,NYK,31.60
5123329674,NBA $20K mini-MAX [150 Max Entry],189908132,$0.50,,,,,,,,,,SF,Franz Wagner (42742279),Franz Wagner,42742279,SF/F/UTIL,6500,DET@ORL 04/25/2026 01:00PM ET,ORL,34.01
5123329675,NBA $20K mini-MAX [150 Max Entry],189908132,$0.50,,,,,,,,,,C,Onyeka Okongwu (42742282),Onyeka Okongwu,42742282,C/UTIL,6100,NYK@ATL 04/25/2026 06:00PM ET,ATL,33.94
5123329676,NBA $20K mini-MAX [150 Max Entry],189908132,$0.50,,,,,,,,,,C,Rudy Gobert (42742284),Rudy Gobert,42742284,C/UTIL,6000,DEN@MIN 04/25/2026 08:30PM ET,MIN,32.38
5123333861,NBA $1K Daily Dollar [Single Entry],189908138,$1,,,,,,,,,,SF,Dyson Daniels (42742286),Dyson Daniels,42742286,SF/F/UTIL,6000,NYK@ATL 04/25/2026 06:00PM ET,ATL,33.58
,,,,,,,,,,,,,PF,OG Anunoby (42742289),OG Anunoby,42742289,PF/F/UTIL,6000,NYK@ATL 04/25/2026 06:00PM ET,NYK,31.93
,,,,,,,,,,,,,PF,Tobias Harris (42742292),Tobias Harris,42742292,PF/F/UTIL,5900,DET@ORL 04/25/2026 01:00PM ET,DET,26.64
,,,,,,,,,,,,,PF,Dillon Brooks (42742298),Dillon Brooks,42742298,PF/F/UTIL,5800,OKC@PHX 04/25/2026 03:30PM ET,PHX,30.18
,,,,,,,,,,,,,SF,Jaden McDaniels (42742295),Jaden McDaniels,42742295,SF/F/UTIL,5800,DEN@MIN 04/25/2026 08:30PM ET,MIN,28.38
,,,,,,,,,,,,,PF/C,Aaron Gordon (42742301),Aaron Gordon,42742301,PF/C/F/UTIL,5800,DEN@MIN 04/25/2026 08:30PM ET,DEN,29.51
,,,,,,,,,,,,,C,Wendell Carter Jr. (42742305),Wendell Carter Jr.,42742305,C/UTIL,5700,DET@ORL 04/25/2026 01:00PM ET,ORL,26.88
,,,,,,,,,,,,,SF,Ausar Thompson (42742307),Ausar Thompson,42742307,SF/F/UTIL,5600,DET@ORL 04/25/2026 01:00PM ET,DET,26.92
,,,,,,,,,,,,,C,Isaiah Hartenstein (42742310),Isaiah Hartenstein,42742310,C/UTIL,5500,OKC@PHX 04/25/2026 03:30PM ET,OKC,29.26
,,,,,,,,,,,,,PG,Donte DiVincenzo (42742315),Donte DiVincenzo,42742315,PG/G/UTIL,5200,DEN@MIN 04/25/2026 08:30PM ET,MIN,27.43
,,,,,,,,,,,,,SF,Mikal Bridges (42742312),Mikal Bridges,42742312,SF/F/UTIL,5200,NYK@ATL 04/25/2026 06:00PM ET,NYK,28.65
,,,,,,,,,,,,,SF/PF,Jonathan Kuminga (42742318),Jonathan Kuminga,42742318,SF/PF/F/UTIL,5100,NYK@ATL 04/25/2026 06:00PM ET,ATL,24.18
,,,,,,,,,,,,,SG/SF,Grayson Allen (42742322),Grayson Allen,42742322,SG/SF/F/G/UTIL,5000,OKC@PHX 04/25/2026 03:30PM ET,PHX,29.98
,,,,,,,,,,,,,SG/SF,Jordan Goodwin (42742327),Jordan Goodwin,42742327,SG/SF/F/G/UTIL,4900,OKC@PHX 04/25/2026 03:30PM ET,PHX,21.85
,,,,,,,,,,,,,C,Mark Williams (42742337),Mark Williams,42742337,C/UTIL,4800,OKC@PHX 04/25/2026 03:30PM ET,PHX,26.40
,,,,,,,,,,,,,SG/SF,Ayo Dosunmu (42742332),Ayo Dosunmu,42742332,SG/SF/F/G/UTIL,4800,DEN@MIN 04/25/2026 08:30PM ET,MIN,27.01
,,,,,,,,,,,,,PG,Ajay Mitchell (42742343),Ajay Mitchell,42742343,PG/G/UTIL,4700,OKC@PHX 04/25/2026 03:30PM ET,OKC,26.20
,,,,,,,,,,,,,PF/C,Naz Reid (42742339),Naz Reid,42742339,PF/C/F/UTIL,4700,DEN@MIN 04/25/2026 08:30PM ET,MIN,28.56
,,,,,,,,,,,,,SF/PF,Cameron Johnson (42742346),Cameron Johnson,42742346,SF/PF/F/UTIL,4700,DEN@MIN 04/25/2026 08:30PM ET,DEN,23.09
,,,,,,,,,,,,,SG,Christian Braun (42742350),Christian Braun,42742350,SG/G/UTIL,4700,DEN@MIN 04/25/2026 08:30PM ET,DEN,23.76
,,,,,,,,,,,,,PG/SG,Anthony Black (42742353),Anthony Black,42742353,PG/SG/G/UTIL,4600,DET@ORL 04/25/2026 01:00PM ET,ORL,28.81
,,,,,,,,,,,,,PF,Royce O'Neale (42742357),Royce O'Neale,42742357,PF/F/UTIL,4500,OKC@PHX 04/25/2026 03:30PM ET,PHX,23.54
,,,,,,,,,,,,,C,Oso Ighodaro (42742360),Oso Ighodaro,42742360,C/UTIL,4400,OKC@PHX 04/25/2026 03:30PM ET,PHX,18.89
,,,,,,,,,,,,,SG/SF,Cason Wallace (42742362),Cason Wallace,42742362,SG/SF/F/G/UTIL,4400,OKC@PHX 04/25/2026 03:30PM ET,OKC,21.06
,,,,,,,,,,,,,SF/PF,Peyton Watson (42742367),Peyton Watson,42742367,SF/PF/F/UTIL,4300,DEN@MIN 04/25/2026 08:30PM ET,DEN,27.86
,,,,,,,,,,,,,SG,Duncan Robinson (42742371),Duncan Robinson,42742371,SG/G/UTIL,4200,DET@ORL 04/25/2026 01:00PM ET,DET,21.43
,,,,,,,,,,,,,C,Mitchell Robinson (42742374),Mitchell Robinson,42742374,C/UTIL,4200,NYK@ATL 04/25/2026 06:00PM ET,NYK,21.78
,,,,,,,,,,,,,SG/SF,Tim Hardaway Jr. (42742376),Tim Hardaway Jr.,42742376,SG/SF/F/G/UTIL,4000,DEN@MIN 04/25/2026 08:30PM ET,DEN,21.08
,,,,,,,,,,,,,PF/C,Isaiah Stewart (42742381),Isaiah Stewart,42742381,PF/C/F/UTIL,4000,DET@ORL 04/25/2026 01:00PM ET,DET,21.35
,,,,,,,,,,,,,SG,Luguentz Dort (42742385),Luguentz Dort,42742385,SG/G/UTIL,3900,OKC@PHX 04/25/2026 03:30PM ET,OKC,17.69
,,,,,,,,,,,,,SF/PF,Alex Caruso (42742388),Alex Caruso,42742388,SF/PF/F/UTIL,3900,OKC@PHX 04/25/2026 03:30PM ET,OKC,15.77
,,,,,,,,,,,,,C,Khaman Maluach (42742392),Khaman Maluach,42742392,C/UTIL,3800,OKC@PHX 04/25/2026 03:30PM ET,PHX,8.02
,,,,,,,,,,,,,PG/SG,Miles McBride (42742394),Miles McBride,42742394,PG/SG/G/UTIL,3800,NYK@ATL 04/25/2026 06:00PM ET,NYK,21.32
,,,,,,,,,,,,,PG,Collin Gillespie (42742402),Collin Gillespie,42742402,PG/G/UTIL,3700,OKC@PHX 04/25/2026 03:30PM ET,PHX,27.75
,,,,,,,,,,,,,PG/SG,Bruce Brown (42742398),Bruce Brown,42742398,PG/SG/G/UTIL,3700,DEN@MIN 04/25/2026 08:30PM ET,DEN,18.42
,,,,,,,,,,,,,C,Paul Reed (42742405),Paul Reed,42742405,C/UTIL,3700,DET@ORL 04/25/2026 01:00PM ET,DET,18.30
,,,,,,,,,,,,,PG,Daniss Jenkins (42742407),Daniss Jenkins,42742407,PG/G/UTIL,3600,DET@ORL 04/25/2026 01:00PM ET,DET,19.76
,,,,,,,,,,,,,SG,Isaiah Joe (42742414),Isaiah Joe,42742414,SG/G/UTIL,3500,OKC@PHX 04/25/2026 03:30PM ET,OKC,18.75
,,,,,,,,,,,,,SF/PF,Javonte Green (42742410),Javonte Green,42742410,SF/PF/F/UTIL,3500,DET@ORL 04/25/2026 01:00PM ET,DET,14.83
,,,,,,,,,,,,,C,Goga Bitadze (42742417),Goga Bitadze,42742417,C/UTIL,3500,DET@ORL 04/25/2026 01:00PM ET,ORL,16.81
,,,,,,,,,,,,,SF/PF,Tristan da Silva (42742419),Tristan da Silva,42742419,SF/PF/F/UTIL,3400,DET@ORL 04/25/2026 01:00PM ET,ORL,19.15
,,,,,,,,,,,,,SG/SF,Kevin Huerter (42742427),Kevin Huerter,42742427,SG/SF/F/G/UTIL,3400,DET@ORL 04/25/2026 01:00PM ET,DET,20.86
,,,,,,,,,,,,,PF/C,Mouhamed Gueye (42742423),Mouhamed Gueye,42742423,PF/C/F/UTIL,3400,NYK@ATL 04/25/2026 06:00PM ET,ATL,12.70
,,,,,,,,,,,,,C,Jaylin Williams (42742437),Jaylin Williams,42742437,C/UTIL,3300,OKC@PHX 04/25/2026 03:30PM ET,OKC,20.17
,,,,,,,,,,,,,SG/SF,Caris LeVert (42742439),Caris LeVert,42742439,SG/SF/F/G/UTIL,3300,DET@ORL 04/25/2026 01:00PM ET,DET,16.40
,,,,,,,,,,,,,SG/SF,Jordan Clarkson (42742432),Jordan Clarkson,42742432,SG/SF/F/G/UTIL,3300,NYK@ATL 04/25/2026 06:00PM ET,NYK,14.03
,,,,,,,,,,,,,PF,Ryan Dunn (42742444),Ryan Dunn,42742444,PF/F/UTIL,3200,OKC@PHX 04/25/2026 03:30PM ET,PHX,15.30
,,,,,,,,,,,,,PG/SG,Bones Hyland (42742447),Bones Hyland,42742447,PG/SG/G/UTIL,3200,DEN@MIN 04/25/2026 08:30PM ET,MIN,16.5
,,,,,,,,,,,,,PF,Spencer Jones (42742451),Spencer Jones,42742451,PF/F/UTIL,3200,DEN@MIN 04/25/2026 08:30PM ET,DEN,13.19
,,,,,,,,,,,,,SG/SF,Julian Strawther (42742454),Julian Strawther,42742454,SG/SF/F/G/UTIL,3200,DEN@MIN 04/25/2026 08:30PM ET,DEN,12.57
,,,,,,,,,,,,,C,Zeke Nnaji (42742459),Zeke Nnaji,42742459,C/UTIL,3200,DEN@MIN 04/25/2026 08:30PM ET,DEN,9.43
,,,,,,,,,,,,,PF/C,Kyle Anderson (42742478),Kyle Anderson,42742478,PF/C/F/UTIL,3100,DEN@MIN 04/25/2026 08:30PM ET,MIN,16.84
,,,,,,,,,,,,,PF,Ronald Holland II (42742461),Ronald Holland II,42742461,PF/F/UTIL,3100,DET@ORL 04/25/2026 01:00PM ET,DET,17.56
,,,,,,,,,,,,,SG/SF,Jamal Cain (42742482),Jamal Cain,42742482,SG/SF/F/G/UTIL,3100,DET@ORL 04/25/2026 01:00PM ET,ORL,9.47
,,,,,,,,,,,,,PG,Jose Alvarado (42742464),Jose Alvarado,42742464,PG/G/UTIL,3100,NYK@ATL 04/25/2026 06:00PM ET,NYK,17.57
,,,,,,,,,,,,,SG/SF,Corey Kispert (42742467),Corey Kispert,42742467,SG/SF/F/G/UTIL,3100,NYK@ATL 04/25/2026 06:00PM ET,ATL,15.30
,,,,,,,,,,,,,PG,Gabe Vincent (42742472),Gabe Vincent,42742472,PG/G/UTIL,3100,NYK@ATL 04/25/2026 06:00PM ET,ATL,9.11
,,,,,,,,,,,,,SG,Landry Shamet (42742475),Landry Shamet,42742475,SG/G/UTIL,3100,NYK@ATL 04/25/2026 06:00PM ET,NYK,15.18
,,,,,,,,,,,,,C,Tony Bradley (42742487),Tony Bradley,42742487,C/UTIL,3100,NYK@ATL 04/25/2026 06:00PM ET,ATL,8.93
,,,,,,,,,,,,,PG/SG,Jared McCain (42742493),Jared McCain,42742493,PG/SG/G/UTIL,3000,OKC@PHX 04/25/2026 03:30PM ET,OKC,14.08
,,,,,,,,,,,,,SF/PF,Aaron Wiggins (42742514),Aaron Wiggins,42742514,SF/PF/F/UTIL,3000,OKC@PHX 04/25/2026 03:30PM ET,OKC,18.37
,,,,,,,,,,,,,SF/PF,Rasheer Fleming (42742525),Rasheer Fleming,42742525,SF/PF/F/UTIL,3000,OKC@PHX 04/25/2026 03:30PM ET,PHX,8.99
,,,,,,,,,,,,,PF/C,Kenrich Williams (42742535),Kenrich Williams,42742535,PF/C/F/UTIL,3000,OKC@PHX 04/25/2026 03:30PM ET,OKC,14.05
,,,,,,,,,,,,,PG,Jamaree Bouyea (42742561),Jamaree Bouyea,42742561,PG/G/UTIL,3000,OKC@PHX 04/25/2026 03:30PM ET,PHX,11.97
,,,,,,,,,,,,,SG/SF,Amir Coffey (42742568),Amir Coffey,42742568,SG/SF/F/G/UTIL,3000,OKC@PHX 04/25/2026 03:30PM ET,PHX,5.96
,,,,,,,,,,,,,C,Branden Carlson (42742586),Branden Carlson,42742586,C/UTIL,3000,OKC@PHX 04/25/2026 03:30PM ET,OKC,12.44
,,,,,,,,,,,,,SF/PF,Brooks Barnhizer (42742590),Brooks Barnhizer,42742590,SF/PF/F/UTIL,3000,OKC@PHX 04/25/2026 03:30PM ET,OKC,5.72
,,,,,,,,,,,,,PF,Isaiah Livers (42742600),Isaiah Livers,42742600,PF/F/UTIL,3000,OKC@PHX 04/25/2026 03:30PM ET,PHX,5.96
,,,,,,,,,,,,,SG,Koby Brea (42742629),Koby Brea,42742629,SG/G/UTIL,3000,OKC@PHX 04/25/2026 03:30PM ET,PHX,6.38
,,,,,,,,,,,,,PG,Nikola Topic (42742634),Nikola Topic,42742634,PG/G/UTIL,3000,OKC@PHX 04/25/2026 03:30PM ET,OKC,13.34
,,,,,,,,,,,,,SF,Haywood Highsmith (42742640),Haywood Highsmith,42742640,SF/F/UTIL,3000,OKC@PHX 04/25/2026 03:30PM ET,PHX,9.67
,,,,,,,,,,,,,PF,Payton Sandfort (42742661),Payton Sandfort,42742661,PF/F/UTIL,3000,OKC@PHX 04/25/2026 03:30PM ET,OKC,13.12
,,,,,,,,,,,,,C,CJ Huntley (42742671),CJ Huntley,42742671,C/UTIL,3000,OKC@PHX 04/25/2026 03:30PM ET,PHX,5.81
,,,,,,,,,,,,,C,Thomas Sorber (42742678),Thomas Sorber,42742678,C/UTIL,3000,OKC@PHX 04/25/2026 03:30PM ET,OKC,0
,,,,,,,,,,,,,SG/SF,Jaylen Clark (42742497),Jaylen Clark,42742497,SG/SF/F/G/UTIL,3000,DEN@MIN 04/25/2026 08:30PM ET,MIN,8.92
,,,,,,,,,,,,,PG,Tyus Jones (42742509),Tyus Jones,42742509,PG/G/UTIL,3000,DEN@MIN 04/25/2026 08:30PM ET,DEN,9.15
,,,,,,,,,,,,,C,Jonas Valanciunas (42742512),Jonas Valanciunas,42742512,C/UTIL,3000,DEN@MIN 04/25/2026 08:30PM ET,DEN,17.58
,,,,,,,,,,,,,PG,Mike Conley (42742529),Mike Conley,42742529,PG/G/UTIL,3000,DEN@MIN 04/25/2026 08:30PM ET,MIN,12.60
,,,,,,,,,,,,,PG/SG,Jalen Pickett (42742557),Jalen Pickett,42742557,PG/SG/G/UTIL,3000,DEN@MIN 04/25/2026 08:30PM ET,DEN,12.18
,,,,,,,,,,,,,SF/PF,Julian Phillips (42742564),Julian Phillips,42742564,SF/PF/F/UTIL,3000,DEN@MIN 04/25/2026 08:30PM ET,MIN,5.76
,,,,,,,,,,,,,SG/SF,Terrence Shannon Jr. (42742581),Terrence Shannon Jr.,42742581,SG/SF/F/G/UTIL,3000,DEN@MIN 04/25/2026 08:30PM ET,MIN,9.13
,,,,,,,,,,,,,C,Joan Beringer (42742588),Joan Beringer,42742588,C/UTIL,3000,DEN@MIN 04/25/2026 08:30PM ET,MIN,8.62
,,,,,,,,,,,,,PF,Joe Ingles (42742606),Joe Ingles,42742606,PF/F/UTIL,3000,DEN@MIN 04/25/2026 08:30PM ET,MIN,4.85
,,,,,,,,,,,,,C,DaRon Holmes II (42742616),DaRon Holmes II,42742616,C/UTIL,3000,DEN@MIN 04/25/2026 08:30PM ET,DEN,6.97
,,,,,,,,,,,,,PG,KJ Simpson (42742621),KJ Simpson,42742621,PG/G/UTIL,3000,DEN@MIN 04/25/2026 08:30PM ET,DEN,11.46
,,,,,,,,,,,,,PG,Curtis Jones (42742637),Curtis Jones,42742637,PG/G/UTIL,3000,DEN@MIN 04/25/2026 08:30PM ET,DEN,6.78
,,,,,,,,,,,,,PG,Zyon Pullin (42742653),Zyon Pullin,42742653,PG/G/UTIL,3000,DEN@MIN 04/25/2026 08:30PM ET,MIN,8.25
,,,,,,,,,,,,,C,Rocco Zikarsky (42742656),Rocco Zikarsky,42742656,C/UTIL,3000,DEN@MIN 04/25/2026 08:30PM ET,MIN,8.8
,,,,,,,,,,,,,SF,David Roddy (42742658),David Roddy,42742658,SF/F/UTIL,3000,DEN@MIN 04/25/2026 08:30PM ET,DEN,16.6
,,,,,,,,,,,,,PF/C,Enrique Freeman (42742664),Enrique Freeman,42742664,PF/C/F/UTIL,3000,DEN@MIN 04/25/2026 08:30PM ET,MIN,9.62
,,,,,,,,,,,,,SF/PF,Noah Penda (42742521),Noah Penda,42742521,SF/PF/F/UTIL,3000,DET@ORL 04/25/2026 01:00PM ET,ORL,10.88
,,,,,,,,,,,,,SG,Jett Howard (42742532),Jett Howard,42742532,SG/G/UTIL,3000,DET@ORL 04/25/2026 01:00PM ET,ORL,9.53
,,,,,,,,,,,,,PG,Jase Richardson (42742539),Jase Richardson,42742539,PG/G/UTIL,3000,DET@ORL 04/25/2026 01:00PM ET,ORL,8.26
,,,,,,,,,,,,,PG,Jevon Carter (42742544),Jevon Carter,42742544,PG/G/UTIL,3000,DET@ORL 04/25/2026 01:00PM ET,ORL,12.82
,,,,,,,,,,,,,PF/C,Jonathan Isaac (42742550),Jonathan Isaac,42742550,PF/C/F/UTIL,3000,DET@ORL 04/25/2026 01:00PM ET,ORL,8.24
,,,,,,,,,,,,,PG/SG,Marcus Sasser (42742594),Marcus Sasser,42742594,PG/SG/G/UTIL,3000,DET@ORL 04/25/2026 01:00PM ET,DET,10.58
,,,,,,,,,,,,,C,Moritz Wagner (42742598),Moritz Wagner,42742598,C/UTIL,3000,DET@ORL 04/25/2026 01:00PM ET,ORL,12.41
,,,,,,,,,,,,,SF,Chaz Lanier (42742603),Chaz Lanier,42742603,SF/F/UTIL,3000,DET@ORL 04/25/2026 01:00PM ET,DET,4.60
,,,,,,,,,,,,,C,Tolu Smith (42742627),Tolu Smith,42742627,C/UTIL,3000,DET@ORL 04/25/2026 01:00PM ET,DET,9.95
,,,,,,,,,,,,,PF/C,Isaac Jones (42742645),Isaac Jones,42742645,PF/C/F/UTIL,3000,DET@ORL 04/25/2026 01:00PM ET,DET,2.61
,,,,,,,,,,,,,SF/PF,Wendell Moore Jr. (42742649),Wendell Moore Jr.,42742649,SF/PF/F/UTIL,3000,DET@ORL 04/25/2026 01:00PM ET,DET,5.17
,,,,,,,,,,,,,PG,Alex Morales (42742673),Alex Morales,42742673,PG/G/UTIL,3000,DET@ORL 04/25/2026 01:00PM ET,ORL,3.94
,,,,,,,,,,,,,C,Colin Castleton (42742676),Colin Castleton,42742676,C/UTIL,3000,DET@ORL 04/25/2026 01:00PM ET,ORL,4.38
,,,,,,,,,,,,,PF/C,Mohamed Diawara (42742489),Mohamed Diawara,42742489,PF/C/F/UTIL,3000,NYK@ATL 04/25/2026 06:00PM ET,NYK,7.22
,,,,,,,,,,,,,SG/SF,Zaccharie Risacher (42742502),Zaccharie Risacher,42742502,SG/SF/F/G/UTIL,3000,NYK@ATL 04/25/2026 06:00PM ET,ATL,18.97
,,,,,,,,,,,,,C,Jock Landale (42742507),Jock Landale,42742507,C/UTIL,3000,NYK@ATL 04/25/2026 06:00PM ET,ATL,22.60
,,,,,,,,,,,,,PG,Tyler Kolek (42742518),Tyler Kolek,42742518,PG/G/UTIL,3000,NYK@ATL 04/25/2026 06:00PM ET,NYK,11.58
,,,,,,,,,,,,,C,Ariel Hukporti (42742542),Ariel Hukporti,42742542,C/UTIL,3000,NYK@ATL 04/25/2026 06:00PM ET,NYK,7.56
,,,,,,,,,,,,,PG,Keaton Wallace (42742547),Keaton Wallace,42742547,PG/G/UTIL,3000,NYK@ATL 04/25/2026 06:00PM ET,ATL,8.68
,,,,,,,,,,,,,SF,Buddy Hield (42742554),Buddy Hield,42742554,SF/F/UTIL,3000,NYK@ATL 04/25/2026 06:00PM ET,ATL,14.72
,,,,,,,,,,,,,PF/C,Asa Newell (42742573),Asa Newell,42742573,PF/C/F/UTIL,3000,NYK@ATL 04/25/2026 06:00PM ET,ATL,10.32
,,,,,,,,,,,,,SF/PF,Jeremy Sochan (42742577),Jeremy Sochan,42742577,SF/PF/F/UTIL,3000,NYK@ATL 04/25/2026 06:00PM ET,NYK,8.97
,,,,,,,,,,,,,SG/SF,Pacome Dadiet (42742609),Pacome Dadiet,42742609,SG/SF/F/G/UTIL,3000,NYK@ATL 04/25/2026 06:00PM ET,NYK,3.78
,,,,,,,,,,,,,C,Christian Koloko (42742614),Christian Koloko,42742614,C/UTIL,3000,NYK@ATL 04/25/2026 06:00PM ET,ATL,9.92
,,,,,,,,,,,,,SF,Kevin McCullar Jr. (42742618),Kevin McCullar Jr.,42742618,SF/F/UTIL,3000,NYK@ATL 04/25/2026 06:00PM ET,NYK,6.24
