Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5103368005,MLB $100 Dime Time [Just $0.10!] (Night),189364967,$0.10,,,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
5103368006,MLB $100 Dime Time [Just $0.10!] (Night),189364967,$0.10,,,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
5103368007,MLB $100 Dime Time [Just $0.10!] (Night),189364967,$0.10,,,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5103368008,MLB $100 Dime Time [Just $0.10!] (Night),189364967,$0.10,,,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5103368009,MLB $100 Dime Time [Just $0.10!] (Night),189364967,$0.10,,,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
5103368010,MLB $100 Dime Time [Just $0.10!] (Night),189364967,$0.10,,,,,,,,,,,,
5103368011,MLB $100 Dime Time [Just $0.10!] (Night),189364967,$0.10,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5103368022,MLB $100 Dime Time [Just $0.10!] (Night),189364967,$0.10,,,,,,,,,,,,SP,Tyler Mahle (42492155),Tyler Mahle,42492155,P,8200,NYM@SF 04/02/2026 09:45PM ET,SF,11.4
5103368023,MLB $100 Dime Time [Just $0.10!] (Night),189364967,$0.10,,,,,,,,,,,,RP,Landen Roupp (42492259),Landen Roupp,42492259,P,7700,NYM@SF 04/02/2026 09:45PM ET,SF,29.1
5103368024,MLB $100 Dime Time [Just $0.10!] (Night),189364967,$0.10,,,,,,,,,,,,SP,Carson Whisenhunt (42492280),Carson Whisenhunt,42492280,P,7700,NYM@SF 04/02/2026 09:45PM ET,SF,0
,,,,,,,,,,,,,,,SP,Kodai Senga (42492128),Kodai Senga,42492128,P,7500,NYM@SF 04/02/2026 09:45PM ET,NYM,23.3
,,,,,,,,,,,,,,,RP,Clay Holmes (42492134),Clay Holmes,42492134,P,7500,NYM@SF 04/02/2026 09:45PM ET,NYM,18.55
,,,,,,,,,,,,,,,SP,David Peterson (42492172),David Peterson,42492172,P,7500,NYM@SF 04/02/2026 09:45PM ET,NYM,13.2
,,,,,,,,,,,,,,,SP,Tylor Megill (42492230),Tylor Megill,42492230,P,7500,NYM@SF 04/02/2026 09:45PM ET,NYM,0
,,,,,,,,,,,,,,,SP,Michael Soroka (42492183),Michael Soroka,42492183,P,7300,ATL@ARI 04/02/2026 09:40PM ET,ARI,32.25
,,,,,,,,,,,,,,,RP,Martin Perez (42492114),Martin Perez,42492114,P,7000,ATL@ARI 04/02/2026 09:40PM ET,ATL,14.55
,,,,,,,,,,,,,,,RP,Reynaldo Lopez (42492147),Reynaldo Lopez,42492147,P,7000,ATL@ARI 04/02/2026 09:40PM ET,ATL,14.5
,,,,,,,,,,,,,,,RP,Grant Holmes (42492166),Grant Holmes,42492166,P,7000,ATL@ARI 04/02/2026 09:40PM ET,ATL,9.05
,,,,,,,,,,,,,,,RP,Osvaldo Bido (42492210),Osvaldo Bido,42492210,P,7000,ATL@ARI 04/02/2026 09:40PM ET,ATL,12.25
,,,,,,,,,,,,,,,SP,Bryce Elder (42492258),Bryce Elder,42492258,P,7000,ATL@ARI 04/02/2026 09:40PM ET,ATL,23.9
,,,,,,,,,,,,,,,RP,Didier Fuentes (42492291),Didier Fuentes,42492291,P,7000,ATL@ARI 04/02/2026 09:40PM ET,ATL,13.2
,,,,,,,,,,,,,,,SP,Hurston Waldrep (42492293),Hurston Waldrep,42492293,P,7000,ATL@ARI 04/02/2026 09:40PM ET,ATL,0
,,,,,,,,,,,,,,,SP,Eduardo Rodriguez (42492122),Eduardo Rodriguez,42492122,P,6800,ATL@ARI 04/02/2026 09:40PM ET,ARI,17.65
,,,,,,,,,,,,,,,SP,Zac Gallen (42492178),Zac Gallen,42492178,P,6800,ATL@ARI 04/02/2026 09:40PM ET,ARI,9.95
,,,,,,,,,,,,,,,SP,Brandon Pfaadt (42492252),Brandon Pfaadt,42492252,P,6800,ATL@ARI 04/02/2026 09:40PM ET,ARI,5.3
,,,,,,,,,,,,,,,SP,Sean Manaea (42492148),Sean Manaea,42492148,P,6500,NYM@SF 04/02/2026 09:45PM ET,NYM,5.2
,,,,,,,,,,,,,,,SP,Tobias Myers (42492201),Tobias Myers,42492201,P,6500,NYM@SF 04/02/2026 09:45PM ET,NYM,6.57
,,,,,,,,,,,,,,,SP,Christian Scott (42492268),Christian Scott,42492268,P,6500,NYM@SF 04/02/2026 09:45PM ET,NYM,0
,,,,,,,,,,,,,,,SP,Jonah Tong (42492288),Jonah Tong,42492288,P,6500,NYM@SF 04/02/2026 09:45PM ET,NYM,0
,,,,,,,,,,,,,,,RP,Jose Suarez (42492180),Jose Suarez,42492180,P,6300,ATL@ARI 04/02/2026 09:40PM ET,ATL,7.45
,,,,,,,,,,,,,,,RP,Joey Wentz (42492198),Joey Wentz,42492198,P,6300,ATL@ARI 04/02/2026 09:40PM ET,ATL,0
,,,,,,,,,,,,,,,OF,Juan Soto (42492191),Juan Soto,42492191,OF,6300,NYM@SF 04/02/2026 09:45PM ET,NYM,9.67
,,,,,,,,,,,,,,,SP,Adrian Houser (42492132),Adrian Houser,42492132,P,6200,NYM@SF 04/02/2026 09:45PM ET,SF,13.2
,,,,,,,,,,,,,,,RP,JT Brubaker (42492186),JT Brubaker,42492186,P,6200,NYM@SF 04/02/2026 09:45PM ET,SF,4.45
,,,,,,,,,,,,,,,RP,Tristan Beck (42492188),Tristan Beck,42492188,P,6200,NYM@SF 04/02/2026 09:45PM ET,SF,0
,,,,,,,,,,,,,,,RP,Jose Butto (42492208),Jose Butto,42492208,P,6200,NYM@SF 04/02/2026 09:45PM ET,SF,-0.5
,,,,,,,,,,,,,,,SP,Keaton Winn (42492218),Keaton Winn,42492218,P,6200,NYM@SF 04/02/2026 09:45PM ET,SF,6.05
,,,,,,,,,,,,,,,SP,Dylan Smith (42492232),Dylan Smith,42492232,P,6200,NYM@SF 04/02/2026 09:45PM ET,SF,0
,,,,,,,,,,,,,,,RP,Carson Seymour (42492253),Carson Seymour,42492253,P,6200,NYM@SF 04/02/2026 09:45PM ET,SF,0
,,,,,,,,,,,,,,,RP,Spencer Bivens (42492277),Spencer Bivens,42492277,P,6200,NYM@SF 04/02/2026 09:45PM ET,SF,0
,,,,,,,,,,,,,,,SP,Blade Tidwell (42492279),Blade Tidwell,42492279,P,6200,NYM@SF 04/02/2026 09:45PM ET,SF,0
,,,,,,,,,,,,,,,RP,Hayden Birdsong (42492287),Hayden Birdsong,42492287,P,6200,NYM@SF 04/02/2026 09:45PM ET,SF,0
,,,,,,,,,,,,,,,SP,Ryne Nelson (42492225),Ryne Nelson,42492225,P,6000,ATL@ARI 04/02/2026 09:40PM ET,ARI,7.5
,,,,,,,,,,,,,,,SP,Yilber Diaz (42492276),Yilber Diaz,42492276,P,6000,ATL@ARI 04/02/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,OF,Corbin Carroll (42492245),Corbin Carroll,42492245,OF,5900,ATL@ARI 04/02/2026 09:40PM ET,ARI,12.33
,,,,,,,,,,,,,,,OF,Ronald Acuna Jr. (42492189),Ronald Acuna Jr.,42492189,OF,5800,ATL@ARI 04/02/2026 09:40PM ET,ATL,5
,,,,,,,,,,,,,,,1B,Rafael Devers (42492165),Rafael Devers,42492165,1B,5600,NYM@SF 04/02/2026 09:45PM ET,SF,4.17
,,,,,,,,,,,,,,,SS,Francisco Lindor (42492131),Francisco Lindor,42492131,SS,5300,NYM@SF 04/02/2026 09:45PM ET,NYM,7.5
,,,,,,,,,,,,,,,2B,Ketel Marte (42492129),Ketel Marte,42492129,2B,5200,ATL@ARI 04/02/2026 09:40PM ET,ARI,6.17
,,,,,,,,,,,,,,,SS,Geraldo Perdomo (42492207),Geraldo Perdomo,42492207,SS,4900,ATL@ARI 04/02/2026 09:40PM ET,ARI,6.83
,,,,,,,,,,,,,,,1B,Matt Olson (42492140),Matt Olson,42492140,1B,4800,ATL@ARI 04/02/2026 09:40PM ET,ATL,5.33
,,,,,,,,,,,,,,,OF,Luis Robert Jr. (42492206),Luis Robert Jr.,42492206,OF,4700,NYM@SF 04/02/2026 09:45PM ET,NYM,8.5
,,,,,,,,,,,,,,,3B/SS,Bo Bichette (42492199),Bo Bichette,42492199,3B/SS,4500,NYM@SF 04/02/2026 09:45PM ET,NYM,3.17
,,,,,,,,,,,,,,,SS,Willy Adames (42492149),Willy Adames,42492149,SS,4400,NYM@SF 04/02/2026 09:45PM ET,SF,5.83
,,,,,,,,,,,,,,,C,Drake Baldwin (42492284),Drake Baldwin,42492284,C,4300,ATL@ARI 04/02/2026 09:40PM ET,ATL,13
,,,,,,,,,,,,,,,3B,Matt Chapman (42492167),Matt Chapman,42492167,3B,4300,NYM@SF 04/02/2026 09:45PM ET,SF,5.83
,,,,,,,,,,,,,,,3B,Austin Riley (42492184),Austin Riley,42492184,3B,4200,ATL@ARI 04/02/2026 09:40PM ET,ATL,3.83
,,,,,,,,,,,,,,,RP,Joel Payamps (42492130),Joel Payamps,42492130,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ATL,0.6
,,,,,,,,,,,,,,,RP,Joe Ross (42492133),Joe Ross,42492133,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ARI,-4.92
,,,,,,,,,,,,,,,RP,Aaron Bummer (42492135),Aaron Bummer,42492135,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ATL,3.58
,,,,,,,,,,,,,,,RP,Paul Sewald (42492144),Paul Sewald,42492144,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ARI,4.42
,,,,,,,,,,,,,,,RP,Jonathan Loaisiga (42492151),Jonathan Loaisiga,42492151,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ARI,3.23
,,,,,,,,,,,,,,,RP,Tyler Kinley (42492156),Tyler Kinley,42492156,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ATL,4.25
,,,,,,,,,,,,,,,RP,A.J. Puk (42492159),A.J. Puk,42492159,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,RP,Joe Jimenez (42492161),Joe Jimenez,42492161,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ATL,0
,,,,,,,,,,,,,,,RP,Kevin Ginkel (42492170),Kevin Ginkel,42492170,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ARI,1.65
,,,,,,,,,,,,,,,RP,Ryan Thompson (42492171),Ryan Thompson,42492171,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ARI,1.57
,,,,,,,,,,,,,,,2B,Ozzie Albies (42492175),Ozzie Albies,42492175,2B,4000,ATL@ARI 04/02/2026 09:40PM ET,ATL,5.67
,,,,,,,,,,,,,,,RP,Raisel Iglesias (42492176),Raisel Iglesias,42492176,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ATL,2.95
,,,,,,,,,,,,,,,RP,Robert Suarez (42492179),Robert Suarez,42492179,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ATL,2.78
,,,,,,,,,,,,,,,RP,Taylor Clarke (42492185),Taylor Clarke,42492185,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ARI,0.08
,,,,,,,,,,,,,,,RP,Danny Young (42492187),Danny Young,42492187,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ATL,0
,,,,,,,,,,,,,,,RP,Juan Morillo (42492197),Juan Morillo,42492197,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ARI,1.09
,,,,,,,,,,,,,,,RP,Dylan Lee (42492202),Dylan Lee,42492202,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ATL,3.85
,,,,,,,,,,,,,,,RP,Hunter Stratton (42492217),Hunter Stratton,42492217,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ATL,0
,,,,,,,,,,,,,,,RP,Andrew Saalfrank (42492223),Andrew Saalfrank,42492223,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,RP,Justin Martinez (42492226),Justin Martinez,42492226,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,RP,Daysbel Hernandez (42492227),Daysbel Hernandez,42492227,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ATL,0
,,,,,,,,,,,,,,,RP,Drey Jameson (42492242),Drey Jameson,42492242,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,RP,Blake Walston (42492246),Blake Walston,42492246,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,RP,Kade Strowd (42492249),Kade Strowd,42492249,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,RP,Juan Burgos (42492261),Juan Burgos,42492261,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,SP,Cristian Mena (42492262),Cristian Mena,42492262,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,SP,Mitch Bratt (42492269),Mitch Bratt,42492269,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,RP,Dylan Dodd (42492271),Dylan Dodd,42492271,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ATL,0
,,,,,,,,,,,,,,,RP,Philip Abner (42492273),Philip Abner,42492273,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,RP,Andrew Hoffmann (42492274),Andrew Hoffmann,42492274,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ARI,7.62
,,,,,,,,,,,,,,,RP,Rolddy Munoz (42492275),Rolddy Munoz,42492275,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ATL,0
,,,,,,,,,,,,,,,SP,Dylan Ray (42492285),Dylan Ray,42492285,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,SP,Kohl Drake (42492289),Kohl Drake,42492289,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,RP,Hayden Harris (42492290),Hayden Harris,42492290,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ATL,0
,,,,,,,,,,,,,,,RP,Jhancarlos Lara (42492292),Jhancarlos Lara,42492292,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ATL,0
,,,,,,,,,,,,,,,RP,Brandyn Garcia (42492295),Brandyn Garcia,42492295,P,4000,ATL@ARI 04/02/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,RP,Luis Garcia (42492113),Luis Garcia,42492113,P,4000,NYM@SF 04/02/2026 09:45PM ET,NYM,0.45
,,,,,,,,,,,,,,,RP,Brooks Raley (42492116),Brooks Raley,42492116,P,4000,NYM@SF 04/02/2026 09:45PM ET,NYM,4.72
,,,,,,,,,,,,,,,RP,Rowan Wick (42492125),Rowan Wick,42492125,P,4000,NYM@SF 04/02/2026 09:45PM ET,SF,0
,,,,,,,,,,,,,,,RP,Luke Weaver (42492136),Luke Weaver,42492136,P,4000,NYM@SF 04/02/2026 09:45PM ET,NYM,2.98
,,,,,,,,,,,,,,,RP,Huascar Brazoban (42492139),Huascar Brazoban,42492139,P,4000,NYM@SF 04/02/2026 09:45PM ET,NYM,3.38
,,,,,,,,,,,,,,,RP,Ryan Borucki (42492145),Ryan Borucki,42492145,P,4000,NYM@SF 04/02/2026 09:45PM ET,SF,1.35
,,,,,,,,,,,,,,,RP,A.J. Minter (42492146),A.J. Minter,42492146,P,4000,NYM@SF 04/02/2026 09:45PM ET,NYM,0
,,,,,,,,,,,,,,,RP,Devin Williams (42492153),Devin Williams,42492153,P,4000,NYM@SF 04/02/2026 09:45PM ET,NYM,4.32
,,,,,,,,,,,,,,,RP,Matt Gage (42492162),Matt Gage,42492162,P,4000,NYM@SF 04/02/2026 09:45PM ET,SF,2.72
,,,,,,,,,,,,,,,RP,Sam Hentges (42492169),Sam Hentges,42492169,P,4000,NYM@SF 04/02/2026 09:45PM ET,SF,0
,,,,,,,,,,,,,,,RP,Reed Garrett (42492174),Reed Garrett,42492174,P,4000,NYM@SF 04/02/2026 09:45PM ET,NYM,0
,,,,,,,,,,,,,,,RP,Reiver Sanmartin (42492190),Reiver Sanmartin,42492190,P,4000,NYM@SF 04/02/2026 09:45PM ET,SF,0
,,,,,,,,,,,,,,,RP,Jason Foley (42492194),Jason Foley,42492194,P,4000,NYM@SF 04/02/2026 09:45PM ET,SF,0
,,,,,,,,,,,,,,,RP,Joel Peguero (42492196),Joel Peguero,42492196,P,4000,NYM@SF 04/02/2026 09:45PM ET,SF,0
,,,,,,,,,,,,,,,RP,Richard Lovelady (42492203),Richard Lovelady,42492203,P,4000,NYM@SF 04/02/2026 09:45PM ET,NYM,3.87
,,,,,,,,,,,,,,,RP,Justin Hagenman (42492212),Justin Hagenman,42492212,P,4000,NYM@SF 04/02/2026 09:45PM ET,NYM,0
,,,,,,,,,,,,,,,RP,Dedniel Nunez (42492221),Dedniel Nunez,42492221,P,4000,NYM@SF 04/02/2026 09:45PM ET,NYM,0
,,,,,,,,,,,,,,,SP,Caleb Kilian (42492224),Caleb Kilian,42492224,P,4000,NYM@SF 04/02/2026 09:45PM ET,SF,6
,,,,,,,,,,,,,,,RP,Austin Warren (42492229),Austin Warren,42492229,P,4000,NYM@SF 04/02/2026 09:45PM ET,NYM,0
,,,,,,,,,,,,,,,RP,Joey Gerber (42492231),Joey Gerber,42492231,P,4000,NYM@SF 04/02/2026 09:45PM ET,NYM,0
,,,,,,,,,,,,,,,RP,Randy Rodriguez (42492233),Randy Rodriguez,42492233,P,4000,NYM@SF 04/02/2026 09:45PM ET,SF,0
,,,,,,,,,,,,,,,RP,Ryan Walker (42492235),Ryan Walker,42492235,P,4000,NYM@SF 04/02/2026 09:45PM ET,SF,1.62
,,,,,,,,,,,,,,,RP,Erik Miller (42492241),Erik Miller,42492241,P,4000,NYM@SF 04/02/2026 09:45PM ET,SF,2.28
,,,,,,,,,,,,,,,RP,Trevor McDonald (42492250),Trevor McDonald,42492250,P,4000,NYM@SF 04/02/2026 09:45PM ET,SF,0
,,,,,,,,,,,,,,,RP,Alex Carrillo (42492260),Alex Carrillo,42492260,P,4000,NYM@SF 04/02/2026 09:45PM ET,NYM,0
,,,,,,,,,,,,,,,RP,Dylan Ross (42492272),Dylan Ross,42492272,P,4000,NYM@SF 04/02/2026 09:45PM ET,NYM,0
,,,,,,,,,,,,,,,RP,Jonathan Pintaro (42492296),Jonathan Pintaro,42492296,P,4000,NYM@SF 04/02/2026 09:45PM ET,NYM,0
,,,,,,,,,,,,,,,OF,Mike Yastrzemski (42492117),Mike Yastrzemski,42492117,OF,3800,ATL@ARI 04/02/2026 09:40PM ET,ATL,5.6
,,,,,,,,,,,,,,,1B/2B,Luis Arraez (42492163),Luis Arraez,42492163,1B/2B,3800,NYM@SF 04/02/2026 09:45PM ET,SF,6.5
,,,,,,,,,,,,,,,OF,Heliot Ramos (42492213),Heliot Ramos,42492213,OF,3700,NYM@SF 04/02/2026 09:45PM ET,SF,4
,,,,,,,,,,,,,,,OF,Lourdes Gurriel Jr. (42492192),Lourdes Gurriel Jr.,42492192,OF,3500,ATL@ARI 04/02/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,C,Gabriel Moreno (42492209),Gabriel Moreno,42492209,C,3500,ATL@ARI 04/02/2026 09:40PM ET,ARI,5.8
,,,,,,,,,,,,,,,OF,Michael Harris II (42492248),Michael Harris II,42492248,OF,3500,ATL@ARI 04/02/2026 09:40PM ET,ATL,5.33
,,,,,,,,,,,,,,,1B/2B,Jorge Polanco (42492120),Jorge Polanco,42492120,1B/2B,3500,NYM@SF 04/02/2026 09:45PM ET,NYM,6.4
,,,,,,,,,,,,,,,OF,Jung Hoo Lee (42492205),Jung Hoo Lee,42492205,OF,3500,NYM@SF 04/02/2026 09:45PM ET,SF,5.67
,,,,,,,,,,,,,,,SS,Ha-Seong Kim (42492193),Ha-Seong Kim,42492193,SS,3400,ATL@ARI 04/02/2026 09:40PM ET,ATL,0
,,,,,,,,,,,,,,,C,Francisco Alvarez (42492239),Francisco Alvarez,42492239,C,3400,NYM@SF 04/02/2026 09:45PM ET,NYM,5.33
,,,,,,,,,,,,,,,1B,Dominic Smith (42492152),Dominic Smith,42492152,1B,3300,ATL@ARI 04/02/2026 09:40PM ET,ATL,10
,,,,,,,,,,,,,,,3B/OF,Brett Baty (42492243),Brett Baty,42492243,3B/OF,3300,NYM@SF 04/02/2026 09:45PM ET,NYM,6.17
,,,,,,,,,,,,,,,3B,Nolan Arenado (42492115),Nolan Arenado,42492115,3B,3200,ATL@ARI 04/02/2026 09:40PM ET,ARI,2.2
,,,,,,,,,,,,,,,C,Sean Murphy (42492182),Sean Murphy,42492182,C,3200,ATL@ARI 04/02/2026 09:40PM ET,ATL,0
,,,,,,,,,,,,,,,OF,Jerar Encarnacion (42492204),Jerar Encarnacion,42492204,OF,3200,NYM@SF 04/02/2026 09:45PM ET,SF,0
,,,,,,,,,,,,,,,1B,Ildemaro Vargas (42492118),Ildemaro Vargas,42492118,1B,3100,ATL@ARI 04/02/2026 09:40PM ET,ARI,11
,,,,,,,,,,,,,,,OF,Harrison Bader (42492177),Harrison Bader,42492177,OF,3100,NYM@SF 04/02/2026 09:45PM ET,SF,5.17
,,,,,,,,,,,,,,,OF,Carson Benge (42492297),Carson Benge,42492297,OF,3100,NYM@SF 04/02/2026 09:45PM ET,NYM,6.33
,,,,,,,,,,,,,,,C,James McCann (42492127),James McCann,42492127,C,3000,ATL@ARI 04/02/2026 09:40PM ET,ARI,4.5
,,,,,,,,,,,,,,,1B,Pavin Smith (42492173),Pavin Smith,42492173,1B,3000,ATL@ARI 04/02/2026 09:40PM ET,ARI,5.5
,,,,,,,,,,,,,,,2B,Marcus Semien (42492119),Marcus Semien,42492119,2B,3000,NYM@SF 04/02/2026 09:45PM ET,NYM,3.33
,,,,,,,,,,,,,,,1B/2B,Casey Schmitt (42492254),Casey Schmitt,42492254,1B/2B,2900,NYM@SF 04/02/2026 09:45PM ET,SF,3.67
,,,,,,,,,,,,,,,C,Adrian Del Castillo (42492237),Adrian Del Castillo,42492237,C,2800,ATL@ARI 04/02/2026 09:40PM ET,ARI,0
,,,,,,,,,,,,,,,OF,Alek Thomas (42492228),Alek Thomas,42492228,OF,2700,ATL@ARI 04/02/2026 09:40PM ET,ARI,7.8
,,,,,,,,,,,,,,,2B,Christian Koss (42492211),Christian Koss,42492211,2B,2600,NYM@SF 04/02/2026 09:45PM ET,SF,0
,,,,,,,,,,,,,,,3B,Mark Vientos (42492215),Mark Vientos,42492215,3B,2600,NYM@SF 04/02/2026 09:45PM ET,NYM,2.67
,,,,,,,,,,,,,,,OF/SS,Jorge Mateo (42492141),Jorge Mateo,42492141,SS/OF,2500,ATL@ARI 04/02/2026 09:40PM ET,ATL,1
,,,,,,,,,,,,,,,3B,Jose Fernandez (42492263),Jose Fernandez,42492263,3B,2500,ATL@ARI 04/02/2026 09:40PM ET,ARI,17.5
,,,,,,,,,,,,,,,C,Patrick Bailey (42492220),Patrick Bailey,42492220,C,2500,NYM@SF 04/02/2026 09:45PM ET,SF,2.33
,,,,,,,,,,,,,,,3B,Ronny Mauricio (42492238),Ronny Mauricio,42492238,3B,2500,NYM@SF 04/02/2026 09:45PM ET,NYM,0
,,,,,,,,,,,,,,,C,Jonah Heim (42492154),Jonah Heim,42492154,C,2400,ATL@ARI 04/02/2026 09:40PM ET,ATL,4
,,,,,,,,,,,,,,,3B/OF,Jordan Lawlar (42492264),Jordan Lawlar,42492264,3B/OF,2400,ATL@ARI 04/02/2026 09:40PM ET,ARI,6
,,,,,,,,,,,,,,,SS,Mauricio Dubon (42492157),Mauricio Dubon,42492157,SS,2300,ATL@ARI 04/02/2026 09:40PM ET,ATL,7.4
,,,,,,,,,,,,,,,OF,Jorge Barrosa (42492222),Jorge Barrosa,42492222,OF,2300,ATL@ARI 04/02/2026 09:40PM ET,ARI,7
,,,,,,,,,,,,,,,C,Luis Torrens (42492160),Luis Torrens,42492160,C,2300,NYM@SF 04/02/2026 09:45PM ET,NYM,2.67
