Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
5101857240,NBA $0.25 Contest,189318591,$0.25,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
5101857241,NBA $0.25 Contest,189318591,$0.25,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
5101857242,NBA $0.25 Contest,189318591,$0.25,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5101857243,NBA $0.25 Contest,189318591,$0.25,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5101857244,NBA $0.25 Contest,189318591,$0.25,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
5101857245,NBA $0.25 Contest,189318591,$0.25,,,,,,,,,,
5101857246,NBA $0.25 Contest,189318591,$0.25,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,PG/SG,Reed Sheppard (42464823),Reed Sheppard,42464823,PG/SG/G/UTIL,6400,NYK@HOU 03/31/2026 08:00PM ET,HOU,27.06
,,,,,,,,,,,,,PF/C,Jabari Smith Jr. (42464827),Jabari Smith Jr.,42464827,PF/C/F/UTIL,6300,NYK@HOU 03/31/2026 08:00PM ET,HOU,31.24
,,,,,,,,,,,,,PF,Kyle Kuzma (42464831),Kyle Kuzma,42464831,PF/F/UTIL,6100,DAL@MIL 03/31/2026 08:00PM ET,MIL,24.56
,,,,,,,,,,,,,PG,Collin Gillespie (42464834),Collin Gillespie,42464834,PG/G/UTIL,6000,PHX@ORL 03/31/2026 07:00PM ET,PHX,29.18
,,,,,,,,,,,,,SF,Ausar Thompson (42464837),Ausar Thompson,42464837,SF/F/UTIL,6000,TOR@DET 03/31/2026 08:00PM ET,DET,26.70
,,,,,,,,,,,,,SG/SF,Ousmane Dieng (42464840),Ousmane Dieng,42464840,SG/SF/F/G/UTIL,6000,DAL@MIL 03/31/2026 08:00PM ET,MIL,13.79
,,,,,,,,,,,,,PF,Miles Bridges (42464845),Miles Bridges,42464845,PF/F/UTIL,5900,CHA@BKN 03/31/2026 07:30PM ET,CHA,31.57
,,,,,,,,,,,,,PG/SG,Anthony Black (42464848),Anthony Black,42464848,PG/SG/G/UTIL,5900,PHX@ORL 03/31/2026 07:00PM ET,ORL,29.88
,,,,,,,,,,,,,PF,Tobias Harris (42464852),Tobias Harris,42464852,PF/F/UTIL,5900,TOR@DET 03/31/2026 08:00PM ET,DET,26.54
,,,,,,,,,,,,,C,Moussa Diabate (42464855),Moussa Diabate,42464855,C/UTIL,5800,CHA@BKN 03/31/2026 07:30PM ET,CHA,25.26
,,,,,,,,,,,,,PF/C,Danny Wolf (42464857),Danny Wolf,42464857,PF/C/F/UTIL,5800,CHA@BKN 03/31/2026 07:30PM ET,BKN,20.60
,,,,,,,,,,,,,C,Nic Claxton (42464861),Nic Claxton,42464861,C/UTIL,5700,CHA@BKN 03/31/2026 07:30PM ET,BKN,29.41
,,,,,,,,,,,,,C,Jakob Poeltl (42464863),Jakob Poeltl,42464863,C/UTIL,5700,TOR@DET 03/31/2026 08:00PM ET,TOR,26.01
,,,,,,,,,,,,,C,Myles Turner (42464865),Myles Turner,42464865,C/UTIL,5600,DAL@MIL 03/31/2026 08:00PM ET,MIL,25.68
,,,,,,,,,,,,,C,Wendell Carter Jr. (42464870),Wendell Carter Jr.,42464870,C/UTIL,5500,PHX@ORL 03/31/2026 07:00PM ET,ORL,27.15
,,,,,,,,,,,,,SF,Mikal Bridges (42464867),Mikal Bridges,42464867,SF/F/UTIL,5500,NYK@HOU 03/31/2026 08:00PM ET,NYK,30.09
,,,,,,,,,,,,,C,Mark Williams (42464872),Mark Williams,42464872,C/UTIL,5300,PHX@ORL 03/31/2026 07:00PM ET,PHX,26.62
,,,,,,,,,,,,,SF,Ziaire Williams (42464880),Ziaire Williams,42464880,SF/F/UTIL,5200,CHA@BKN 03/31/2026 07:30PM ET,BKN,18.62
,,,,,,,,,,,,,PG/SG,Coby White (42464883),Coby White,42464883,PG/SG/G/UTIL,5200,CHA@BKN 03/31/2026 07:30PM ET,CHA,29.64
,,,,,,,,,,,,,C,Oso Ighodaro (42464874),Oso Ighodaro,42464874,C/UTIL,5200,PHX@ORL 03/31/2026 07:00PM ET,PHX,18.76
,,,,,,,,,,,,,PF/C,Isaiah Stewart (42464876),Isaiah Stewart,42464876,PF/C/F/UTIL,5200,TOR@DET 03/31/2026 08:00PM ET,DET,21.88
,,,,,,,,,,,,,PF/C,Josh Minott (42464896),Josh Minott,42464896,PF/C/F/UTIL,5100,CHA@BKN 03/31/2026 07:30PM ET,BKN,15.5
,,,,,,,,,,,,,SF/PF,Tristan da Silva (42464887),Tristan da Silva,42464887,SF/PF/F/UTIL,5100,PHX@ORL 03/31/2026 07:00PM ET,ORL,19.76
,,,,,,,,,,,,,SG/SF,Gary Trent Jr. (42464891),Gary Trent Jr.,42464891,SG/SF/F/G/UTIL,5100,DAL@MIL 03/31/2026 08:00PM ET,MIL,13.18
,,,,,,,,,,,,,PG,Nolan Traore (42464900),Nolan Traore,42464900,PG/G/UTIL,5000,CHA@BKN 03/31/2026 07:30PM ET,BKN,18.02
,,,,,,,,,,,,,C,Daniel Gafford (42464903),Daniel Gafford,42464903,C/UTIL,5000,DAL@MIL 03/31/2026 08:00PM ET,DAL,23.67
,,,,,,,,,,,,,PG/SG,Marcus Sasser (42464913),Marcus Sasser,42464913,PG/SG/G/UTIL,4900,TOR@DET 03/31/2026 08:00PM ET,DET,11.89
,,,,,,,,,,,,,PG/SG,Brandon Williams (42464905),Brandon Williams,42464905,PG/SG/G/UTIL,4900,DAL@MIL 03/31/2026 08:00PM ET,DAL,24.08
,,,,,,,,,,,,,SF/PF,Pete Nance (42464909),Pete Nance,42464909,SF/PF/F/UTIL,4900,DAL@MIL 03/31/2026 08:00PM ET,MIL,10.18
,,,,,,,,,,,,,PF,Royce O'Neale (42464920),Royce O'Neale,42464920,PF/F/UTIL,4800,PHX@ORL 03/31/2026 07:00PM ET,PHX,23.86
,,,,,,,,,,,,,PG,Jamal Shead (42464917),Jamal Shead,42464917,PG/G/UTIL,4800,TOR@DET 03/31/2026 08:00PM ET,TOR,18.95
,,,,,,,,,,,,,SF/PF,Noah Clowney (42464929),Noah Clowney,42464929,SF/PF/F/UTIL,4600,CHA@BKN 03/31/2026 07:30PM ET,BKN,23.23
,,,,,,,,,,,,,SG,Duncan Robinson (42464923),Duncan Robinson,42464923,SG/G/UTIL,4600,TOR@DET 03/31/2026 08:00PM ET,DET,21.20
,,,,,,,,,,,,,PF/C,Collin Murray-Boyles (42464935),Collin Murray-Boyles,42464935,PF/C/F/UTIL,4600,TOR@DET 03/31/2026 08:00PM ET,TOR,20.27
,,,,,,,,,,,,,SG,Max Christie (42464926),Max Christie,42464926,SG/G/UTIL,4600,DAL@MIL 03/31/2026 08:00PM ET,DAL,21.83
,,,,,,,,,,,,,C,Jericho Sims (42464933),Jericho Sims,42464933,C/UTIL,4600,DAL@MIL 03/31/2026 08:00PM ET,MIL,12.90
,,,,,,,,,,,,,PG,Ben Saraf (42464943),Ben Saraf,42464943,PG/G/UTIL,4500,CHA@BKN 03/31/2026 07:30PM ET,BKN,15.03
,,,,,,,,,,,,,C,Paul Reed (42464939),Paul Reed,42464939,C/UTIL,4500,TOR@DET 03/31/2026 08:00PM ET,DET,18.01
,,,,,,,,,,,,,C,Marvin Bagley III (42464941),Marvin Bagley III,42464941,C/UTIL,4500,DAL@MIL 03/31/2026 08:00PM ET,DAL,22.24
,,,,,,,,,,,,,SG/SF,Taurean Prince (42464946),Taurean Prince,42464946,SG/SF/F/G/UTIL,4500,DAL@MIL 03/31/2026 08:00PM ET,MIL,14.18
,,,,,,,,,,,,,PG/SG,Jordan Goodwin (42464953),Jordan Goodwin,42464953,PG/SG/G/UTIL,4400,PHX@ORL 03/31/2026 07:00PM ET,PHX,22.03
,,,,,,,,,,,,,C,Sandro Mamukelashvili (42464951),Sandro Mamukelashvili,42464951,C/UTIL,4400,TOR@DET 03/31/2026 08:00PM ET,TOR,22.99
,,,,,,,,,,,,,PG/SG,Caris LeVert (42464957),Caris LeVert,42464957,PG/SG/G/UTIL,4400,TOR@DET 03/31/2026 08:00PM ET,DET,16.77
,,,,,,,,,,,,,SG/SF,Tari Eason (42464961),Tari Eason,42464961,SG/SF/F/G/UTIL,4400,NYK@HOU 03/31/2026 08:00PM ET,HOU,24.33
,,,,,,,,,,,,,PF,Andre Jackson Jr. (42464966),Andre Jackson Jr.,42464966,PF/F/UTIL,4400,DAL@MIL 03/31/2026 08:00PM ET,MIL,5.51
,,,,,,,,,,,,,SG/SF,Ja'Kobe Walter (42464969),Ja'Kobe Walter,42464969,SG/SF/F/G/UTIL,4300,TOR@DET 03/31/2026 08:00PM ET,TOR,14.64
,,,,,,,,,,,,,C,Mitchell Robinson (42464974),Mitchell Robinson,42464974,C/UTIL,4300,NYK@HOU 03/31/2026 08:00PM ET,NYK,21.69
,,,,,,,,,,,,,SG/SF,Kevin Huerter (42464981),Kevin Huerter,42464981,SG/SF/F/G/UTIL,4200,TOR@DET 03/31/2026 08:00PM ET,DET,21.08
,,,,,,,,,,,,,SG/SF,Klay Thompson (42464976),Klay Thompson,42464976,SG/SF/F/G/UTIL,4200,DAL@MIL 03/31/2026 08:00PM ET,DAL,18.95
,,,,,,,,,,,,,PG/SG,AJ Green (42464986),AJ Green,42464986,PG/SG/G/UTIL,4100,DAL@MIL 03/31/2026 08:00PM ET,MIL,17.70
,,,,,,,,,,,,,PF,Chaney Johnson (42464990),Chaney Johnson,42464990,PF/F/UTIL,4000,CHA@BKN 03/31/2026 07:30PM ET,BKN,18.19
,,,,,,,,,,,,,PG,Jevon Carter (42465004),Jevon Carter,42465004,PG/G/UTIL,3900,PHX@ORL 03/31/2026 07:00PM ET,ORL,13.41
,,,,,,,,,,,,,PF,Ronald Holland II (42464993),Ronald Holland II,42464993,PF/F/UTIL,3900,TOR@DET 03/31/2026 08:00PM ET,DET,17.98
,,,,,,,,,,,,,SG/SF,Gradey Dick (42464996),Gradey Dick,42464996,SG/SF/F/G/UTIL,3900,TOR@DET 03/31/2026 08:00PM ET,TOR,11.51
,,,,,,,,,,,,,PG,Jose Alvarado (42465001),Jose Alvarado,42465001,PG/G/UTIL,3900,NYK@HOU 03/31/2026 08:00PM ET,NYK,17.37
,,,,,,,,,,,,,C,Goga Bitadze (42465016),Goga Bitadze,42465016,C/UTIL,3800,PHX@ORL 03/31/2026 07:00PM ET,ORL,16.24
,,,,,,,,,,,,,SF/PF,Javonte Green (42465007),Javonte Green,42465007,SF/PF/F/UTIL,3800,TOR@DET 03/31/2026 08:00PM ET,DET,14.84
,,,,,,,,,,,,,SG/SF,Jordan Clarkson (42465011),Jordan Clarkson,42465011,SG/SF/F/G/UTIL,3800,NYK@HOU 03/31/2026 08:00PM ET,NYK,14.36
,,,,,,,,,,,,,SG,Drake Powell (42465018),Drake Powell,42465018,SG/G/UTIL,3700,CHA@BKN 03/31/2026 07:30PM ET,BKN,11.82
,,,,,,,,,,,,,PG/SG,Aaron Holiday (42465021),Aaron Holiday,42465021,PG/SG/G/UTIL,3700,NYK@HOU 03/31/2026 08:00PM ET,HOU,9.53
,,,,,,,,,,,,,SG,Terance Mann (42465025),Terance Mann,42465025,SG/G/UTIL,3600,CHA@BKN 03/31/2026 07:30PM ET,BKN,17.46
,,,,,,,,,,,,,SF/PF,Jalen Wilson (42465031),Jalen Wilson,42465031,SF/PF/F/UTIL,3600,CHA@BKN 03/31/2026 07:30PM ET,BKN,10.15
,,,,,,,,,,,,,PG/SF,AJ Lawson (42465035),AJ Lawson,42465035,PG/SF/F/G/UTIL,3600,TOR@DET 03/31/2026 08:00PM ET,TOR,8.02
,,,,,,,,,,,,,PG,Ryan Nembhard (42465028),Ryan Nembhard,42465028,PG/G/UTIL,3600,DAL@MIL 03/31/2026 08:00PM ET,DAL,16.52
,,,,,,,,,,,,,SF/PF,Sion James (42465040),Sion James,42465040,SF/PF/F/UTIL,3500,CHA@BKN 03/31/2026 07:30PM ET,CHA,14.34
,,,,,,,,,,,,,SG/SF,Ochai Agbaji (42465046),Ochai Agbaji,42465046,SG/SF/F/G/UTIL,3500,CHA@BKN 03/31/2026 07:30PM ET,BKN,10.3
,,,,,,,,,,,,,PF/C,Jonathan Mogbo (42465053),Jonathan Mogbo,42465053,PF/C/F/UTIL,3500,TOR@DET 03/31/2026 08:00PM ET,TOR,5.48
,,,,,,,,,,,,,C,Clint Capela (42465044),Clint Capela,42465044,C/UTIL,3500,NYK@HOU 03/31/2026 08:00PM ET,HOU,12.89
,,,,,,,,,,,,,C,Dwight Powell (42465051),Dwight Powell,42465051,C/UTIL,3500,DAL@MIL 03/31/2026 08:00PM ET,DAL,10.98
,,,,,,,,,,,,,SG,Cormac Ryan (42465057),Cormac Ryan,42465057,SG/G/UTIL,3500,DAL@MIL 03/31/2026 08:00PM ET,MIL,7.94
,,,,,,,,,,,,,C,E.J. Liddell (42465078),E.J. Liddell,42465078,C/UTIL,3400,CHA@BKN 03/31/2026 07:30PM ET,BKN,7.18
,,,,,,,,,,,,,SG,Jett Howard (42465068),Jett Howard,42465068,SG/G/UTIL,3400,PHX@ORL 03/31/2026 07:00PM ET,ORL,9.86
,,,,,,,,,,,,,PF/C,Rasheer Fleming (42465071),Rasheer Fleming,42465071,PF/C/F/UTIL,3400,PHX@ORL 03/31/2026 07:00PM ET,PHX,9.08
,,,,,,,,,,,,,SF/PF,Jamison Battle (42465060),Jamison Battle,42465060,SF/PF/F/UTIL,3400,TOR@DET 03/31/2026 08:00PM ET,TOR,6.34
,,,,,,,,,,,,,SG,Alijah Martin (42465080),Alijah Martin,42465080,SG/G/UTIL,3400,TOR@DET 03/31/2026 08:00PM ET,TOR,6.04
,,,,,,,,,,,,,SG,Landry Shamet (42465075),Landry Shamet,42465075,SG/G/UTIL,3400,NYK@HOU 03/31/2026 08:00PM ET,NYK,16.40
,,,,,,,,,,,,,SF/PF,Khris Middleton (42465064),Khris Middleton,42465064,SF/PF/F/UTIL,3400,DAL@MIL 03/31/2026 08:00PM ET,DAL,21.30
,,,,,,,,,,,,,SG/SF,Josh Green (42465087),Josh Green,42465087,SG/SF/F/G/UTIL,3300,CHA@BKN 03/31/2026 07:30PM ET,CHA,9.96
,,,,,,,,,,,,,PG/SG,Tyson Etienne (42465105),Tyson Etienne,42465105,PG/SG/G/UTIL,3300,CHA@BKN 03/31/2026 07:30PM ET,BKN,9.94
,,,,,,,,,,,,,SF/PF,Noah Penda (42465083),Noah Penda,42465083,SF/PF/F/UTIL,3300,PHX@ORL 03/31/2026 07:00PM ET,ORL,11.99
,,,,,,,,,,,,,C,Khaman Maluach (42465094),Khaman Maluach,42465094,C/UTIL,3300,PHX@ORL 03/31/2026 07:00PM ET,PHX,7.45
,,,,,,,,,,,,,SG/SF,Jamal Cain (42465100),Jamal Cain,42465100,SG/SF/F/G/UTIL,3300,PHX@ORL 03/31/2026 07:00PM ET,ORL,7.71
,,,,,,,,,,,,,C,Trayce Jackson-Davis (42465092),Trayce Jackson-Davis,42465092,C/UTIL,3300,TOR@DET 03/31/2026 08:00PM ET,TOR,9.72
,,,,,,,,,,,,,SF/PF,Jae'Sean Tate (42465096),Jae'Sean Tate,42465096,SF/PF/F/UTIL,3300,NYK@HOU 03/31/2026 08:00PM ET,HOU,5.54
,,,,,,,,,,,,,C,Ryan Kalkbrenner (42465113),Ryan Kalkbrenner,42465113,C/UTIL,3200,CHA@BKN 03/31/2026 07:30PM ET,CHA,19.26
,,,,,,,,,,,,,PG/SG,Malachi Smith (42465122),Malachi Smith,42465122,PG/SG/G/UTIL,3200,CHA@BKN 03/31/2026 07:30PM ET,BKN,15.72
,,,,,,,,,,,,,SF/PF,Ryan Dunn (42465109),Ryan Dunn,42465109,SF/PF/F/UTIL,3200,PHX@ORL 03/31/2026 07:00PM ET,PHX,16.11
,,,,,,,,,,,,,PG,Jase Richardson (42465115),Jase Richardson,42465115,PG/G/UTIL,3200,PHX@ORL 03/31/2026 07:00PM ET,ORL,8.62
,,,,,,,,,,,,,PG/SG,Miles McBride (42465118),Miles McBride,42465118,PG/SG/G/UTIL,3200,NYK@HOU 03/31/2026 08:00PM ET,NYK,22.91
,,,,,,,,,,,,,SF/PF,Liam McNeeley (42465140),Liam McNeeley,42465140,SF/PF/F/UTIL,3100,CHA@BKN 03/31/2026 07:30PM ET,CHA,9.27
,,,,,,,,,,,,,C,Moritz Wagner (42465136),Moritz Wagner,42465136,C/UTIL,3100,PHX@ORL 03/31/2026 07:00PM ET,ORL,13.66
,,,,,,,,,,,,,SF,Chaz Lanier (42465144),Chaz Lanier,42465144,SF/F/UTIL,3100,TOR@DET 03/31/2026 08:00PM ET,DET,4.91
,,,,,,,,,,,,,PF,Mohamed Diawara (42465126),Mohamed Diawara,42465126,PF/F/UTIL,3100,NYK@HOU 03/31/2026 08:00PM ET,NYK,7.09
,,,,,,,,,,,,,SF/PF,Jeremy Sochan (42465132),Jeremy Sochan,42465132,SF/PF/F/UTIL,3100,NYK@HOU 03/31/2026 08:00PM ET,NYK,8.49
,,,,,,,,,,,,,SG,Pacome Dadiet (42465147),Pacome Dadiet,42465147,SG/G/UTIL,3100,NYK@HOU 03/31/2026 08:00PM ET,NYK,3.14
,,,,,,,,,,,,,PG,AJ Johnson (42465129),AJ Johnson,42465129,PG/G/UTIL,3100,DAL@MIL 03/31/2026 08:00PM ET,DAL,5.77
,,,,,,,,,,,,,C,Thanasis Antetokounmpo (42465138),Thanasis Antetokounmpo,42465138,C/UTIL,3100,DAL@MIL 03/31/2026 08:00PM ET,MIL,3.68
,,,,,,,,,,,,,C,Tyler Smith (42465150),Tyler Smith,42465150,C/UTIL,3100,DAL@MIL 03/31/2026 08:00PM ET,DAL,6
,,,,,,,,,,,,,C,Day'Ron Sharpe (42465157),Day'Ron Sharpe,42465157,C/UTIL,3000,CHA@BKN 03/31/2026 07:30PM ET,BKN,22.88
,,,,,,,,,,,,,PG,Egor Demin (42465170),Egor Demin,42465170,PG/G/UTIL,3000,CHA@BKN 03/31/2026 07:30PM ET,BKN,21.93
,,,,,,,,,,,,,PG/SG,Tre Mann (42465175),Tre Mann,42465175,PG/SG/G/UTIL,3000,CHA@BKN 03/31/2026 07:30PM ET,CHA,11.97
,,,,,,,,,,,,,SF/PF,Pat Connaughton (42465195),Pat Connaughton,42465195,SF/PF/F/UTIL,3000,CHA@BKN 03/31/2026 07:30PM ET,CHA,6.10
,,,,,,,,,,,,,PF,Tidjane Salaun (42465199),Tidjane Salaun,42465199,PF/F/UTIL,3000,CHA@BKN 03/31/2026 07:30PM ET,CHA,13.94
,,,,,,,,,,,,,PF,Grant Williams (42465209),Grant Williams,42465209,PF/F/UTIL,3000,CHA@BKN 03/31/2026 07:30PM ET,CHA,15.96
,,,,,,,,,,,,,C,Xavier Tillman (42465216),Xavier Tillman,42465216,C/UTIL,3000,CHA@BKN 03/31/2026 07:30PM ET,CHA,4.60
,,,,,,,,,,,,,C,PJ Hall (42465230),PJ Hall,42465230,C/UTIL,3000,CHA@BKN 03/31/2026 07:30PM ET,CHA,11.36
,,,,,,,,,,,,,SG,Antonio Reeves (42465243),Antonio Reeves,42465243,SG/G/UTIL,3000,CHA@BKN 03/31/2026 07:30PM ET,CHA,5
,,,,,,,,,,,,,SF,Tosan Evbuomwan (42465258),Tosan Evbuomwan,42465258,SF/F/UTIL,3000,CHA@BKN 03/31/2026 07:30PM ET,CHA,0.5
,,,,,,,,,,,,,PF/C,Jonathan Isaac (42465166),Jonathan Isaac,42465166,PF/C/F/UTIL,3000,PHX@ORL 03/31/2026 07:00PM ET,ORL,8.24
,,,,,,,,,,,,,SG/SF,Amir Coffey (42465184),Amir Coffey,42465184,SG/SF/F/G/UTIL,3000,PHX@ORL 03/31/2026 07:00PM ET,PHX,5.94
,,,,,,,,,,,,,PG,Jamaree Bouyea (42465189),Jamaree Bouyea,42465189,PG/G/UTIL,3000,PHX@ORL 03/31/2026 07:00PM ET,PHX,12.43
