Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
5127294241,NBA $10K High Five [Single Entry],190010011,$5,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
5127295733,NBA $17.5K And-One,190023110,$1,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
5127295734,NBA $17.5K And-One,190023110,$1,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5127295735,NBA $17.5K And-One,190023110,$1,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5127295736,NBA $17.5K And-One,190023110,$1,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
5127295737,NBA $17.5K And-One,190023110,$1,,,,,,,,,,
5127295738,NBA $17.5K And-One,190023110,$1,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5127294382,NBA $250 Dime Time [Just $0.10!],190047127,$0.10,,,,,,,,,,PG/SG,Austin Reaves (42932729),Austin Reaves,42932729,PG/SG/G/UTIL,7700,HOU@LAL 04/29/2026 10:00PM ET,LAL,40.22
5127294383,NBA $250 Dime Time [Just $0.10!],190047127,$0.10,,,,,,,,,,PF/C,Evan Mobley (42932733),Evan Mobley,42932733,PF/C/F/UTIL,7600,TOR@CLE 04/29/2026 07:30PM ET,CLE,39.60
5127294384,NBA $250 Dime Time [Just $0.10!],190047127,$0.10,,,,,,,,,,C,Jalen Duren (42932737),Jalen Duren,42932737,C/UTIL,7200,ORL@DET 04/29/2026 07:00PM ET,DET,37.50
5127294385,NBA $250 Dime Time [Just $0.10!],190047127,$0.10,,,,,,,,,,SF,RJ Barrett (42932742),RJ Barrett,42932742,SF/F/UTIL,7100,TOR@CLE 04/29/2026 07:30PM ET,TOR,33.39
5127294386,NBA $250 Dime Time [Just $0.10!],190047127,$0.10,,,,,,,,,,PG,Jalen Suggs (42932739),Jalen Suggs,42932739,PG/G/UTIL,7100,ORL@DET 04/29/2026 07:00PM ET,ORL,31.29
5127294387,NBA $250 Dime Time [Just $0.10!],190047127,$0.10,,,,,,,,,,SG,Desmond Bane (42932745),Desmond Bane,42932745,SG/G/UTIL,7000,ORL@DET 04/29/2026 07:00PM ET,ORL,34.42
5127294388,NBA $250 Dime Time [Just $0.10!],190047127,$0.10,,,,,,,,,,SG,Brandon Ingram (42932748),Brandon Ingram,42932748,SG/G/UTIL,6900,TOR@CLE 04/29/2026 07:30PM ET,TOR,35.28
5127294389,NBA $250 Dime Time [Just $0.10!],190047127,$0.10,,,,,,,,,,SF,Franz Wagner (42932751),Franz Wagner,42932751,SF/F/UTIL,6700,ORL@DET 04/29/2026 07:00PM ET,ORL,34.18
5127294390,NBA $250 Dime Time [Just $0.10!],190047127,$0.10,,,,,,,,,,PF,Tobias Harris (42932758),Tobias Harris,42932758,PF/F/UTIL,6500,ORL@DET 04/29/2026 07:00PM ET,DET,26.89
5127294391,NBA $250 Dime Time [Just $0.10!],190047127,$0.10,,,,,,,,,,PF/C,Jabari Smith Jr. (42932754),Jabari Smith Jr.,42932754,PF/C/F/UTIL,6500,HOU@LAL 04/29/2026 10:00PM ET,HOU,31.40
5127294392,NBA $250 Dime Time [Just $0.10!],190047127,$0.10,,,,,,,,,,SG/SF,Marcus Smart (42932761),Marcus Smart,42932761,SG/SF/F/G/UTIL,6200,HOU@LAL 04/29/2026 10:00PM ET,LAL,22.17
5127294393,NBA $250 Dime Time [Just $0.10!],190047127,$0.10,,,,,,,,,,C,Wendell Carter Jr. (42932766),Wendell Carter Jr.,42932766,C/UTIL,6000,ORL@DET 04/29/2026 07:00PM ET,ORL,27.17
5127294394,NBA $250 Dime Time [Just $0.10!],190047127,$0.10,,,,,,,,,,SF,Ausar Thompson (42932768),Ausar Thompson,42932768,SF/F/UTIL,6000,ORL@DET 04/29/2026 07:00PM ET,DET,27.11
5127294395,NBA $250 Dime Time [Just $0.10!],190047127,$0.10,,,,,,,,,,PG/SG,Luke Kennard (42932771),Luke Kennard,42932771,PG/SG/G/UTIL,5700,HOU@LAL 04/29/2026 10:00PM ET,LAL,17.31
,,,,,,,,,,,,,PG,Immanuel Quickley (42932775),Immanuel Quickley,42932775,PG/G/UTIL,5500,TOR@CLE 04/29/2026 07:30PM ET,TOR,33.84
,,,,,,,,,,,,,C,Jarrett Allen (42932778),Jarrett Allen,42932778,C/UTIL,5500,TOR@CLE 04/29/2026 07:30PM ET,CLE,31.73
,,,,,,,,,,,,,PF/C,Collin Murray-Boyles (42932780),Collin Murray-Boyles,42932780,PF/C/F/UTIL,5500,TOR@CLE 04/29/2026 07:30PM ET,TOR,21.70
,,,,,,,,,,,,,PG/SG,Reed Sheppard (42932784),Reed Sheppard,42932784,PG/SG/G/UTIL,5400,HOU@LAL 04/29/2026 10:00PM ET,HOU,27.25
,,,,,,,,,,,,,C,Deandre Ayton (42932788),Deandre Ayton,42932788,C/UTIL,5300,HOU@LAL 04/29/2026 10:00PM ET,LAL,26.55
,,,,,,,,,,,,,SG/SF,Tari Eason (42932794),Tari Eason,42932794,SG/SF/F/G/UTIL,5100,HOU@LAL 04/29/2026 10:00PM ET,HOU,24.62
,,,,,,,,,,,,,SF/PF,Rui Hachimura (42932790),Rui Hachimura,42932790,SF/PF/F/UTIL,4900,HOU@LAL 04/29/2026 10:00PM ET,LAL,19.62
,,,,,,,,,,,,,PG,Jamal Shead (42932799),Jamal Shead,42932799,PG/G/UTIL,4600,TOR@CLE 04/29/2026 07:30PM ET,TOR,18.99
,,,,,,,,,,,,,PG/SG,Anthony Black (42932802),Anthony Black,42932802,PG/SG/G/UTIL,4500,ORL@DET 04/29/2026 07:00PM ET,ORL,28.39
,,,,,,,,,,,,,SG/SF,Max Strus (42932806),Max Strus,42932806,SG/SF/F/G/UTIL,4400,TOR@CLE 04/29/2026 07:30PM ET,CLE,22
,,,,,,,,,,,,,SG,Duncan Robinson (42932811),Duncan Robinson,42932811,SG/G/UTIL,4300,ORL@DET 04/29/2026 07:00PM ET,DET,21.25
,,,,,,,,,,,,,C,Jakob Poeltl (42932814),Jakob Poeltl,42932814,C/UTIL,4100,TOR@CLE 04/29/2026 07:30PM ET,TOR,24.66
,,,,,,,,,,,,,PG/SG,Ja'Kobe Walter (42932816),Ja'Kobe Walter,42932816,PG/SG/G/UTIL,4000,TOR@CLE 04/29/2026 07:30PM ET,TOR,15.34
,,,,,,,,,,,,,PF/C,Isaiah Stewart (42932820),Isaiah Stewart,42932820,PF/C/F/UTIL,4000,ORL@DET 04/29/2026 07:00PM ET,DET,21.27
,,,,,,,,,,,,,SG/SF,Jamal Cain (42932824),Jamal Cain,42932824,SG/SF/F/G/UTIL,3900,ORL@DET 04/29/2026 07:00PM ET,ORL,9.67
,,,,,,,,,,,,,C,Sandro Mamukelashvili (42932829),Sandro Mamukelashvili,42932829,C/UTIL,3800,TOR@CLE 04/29/2026 07:30PM ET,TOR,22.90
,,,,,,,,,,,,,SF,Dean Wade (42932835),Dean Wade,42932835,SF/F/UTIL,3700,TOR@CLE 04/29/2026 07:30PM ET,CLE,15.92
,,,,,,,,,,,,,SF/PF,Tristan da Silva (42932831),Tristan da Silva,42932831,SF/PF/F/UTIL,3700,ORL@DET 04/29/2026 07:00PM ET,ORL,18.85
,,,,,,,,,,,,,SG,Sam Merrill (42932843),Sam Merrill,42932843,SG/G/UTIL,3600,TOR@CLE 04/29/2026 07:30PM ET,CLE,21.50
,,,,,,,,,,,,,SG/SF,Jake LaRavia (42932838),Jake LaRavia,42932838,SG/SF/F/G/UTIL,3600,HOU@LAL 04/29/2026 10:00PM ET,LAL,18.82
,,,,,,,,,,,,,SF/PF,Javonte Green (42932846),Javonte Green,42932846,SF/PF/F/UTIL,3500,ORL@DET 04/29/2026 07:00PM ET,DET,14.82
,,,,,,,,,,,,,SG/SF,Josh Okogie (42932850),Josh Okogie,42932850,SG/SF/F/G/UTIL,3500,HOU@LAL 04/29/2026 10:00PM ET,HOU,11.20
,,,,,,,,,,,,,C,Jaxson Hayes (42932855),Jaxson Hayes,42932855,C/UTIL,3500,HOU@LAL 04/29/2026 10:00PM ET,LAL,16.11
,,,,,,,,,,,,,SG/SF,Caris LeVert (42932857),Caris LeVert,42932857,SG/SF/F/G/UTIL,3400,ORL@DET 04/29/2026 07:00PM ET,DET,16.18
,,,,,,,,,,,,,PG/SG,Aaron Holiday (42932862),Aaron Holiday,42932862,PG/SG/G/UTIL,3400,HOU@LAL 04/29/2026 10:00PM ET,HOU,9.36
,,,,,,,,,,,,,SF/PF,Jaylon Tyson (42932869),Jaylon Tyson,42932869,SF/PF/F/UTIL,3300,TOR@CLE 04/29/2026 07:30PM ET,CLE,25.12
,,,,,,,,,,,,,PG,Daniss Jenkins (42932866),Daniss Jenkins,42932866,PG/G/UTIL,3300,ORL@DET 04/29/2026 07:00PM ET,DET,19.49
,,,,,,,,,,,,,C,Goga Bitadze (42932873),Goga Bitadze,42932873,C/UTIL,3300,ORL@DET 04/29/2026 07:00PM ET,ORL,16.62
,,,,,,,,,,,,,PF,Dorian Finney-Smith (42932875),Dorian Finney-Smith,42932875,PF/F/UTIL,3300,HOU@LAL 04/29/2026 10:00PM ET,HOU,9.03
,,,,,,,,,,,,,PG,Dennis Schroder (42932878),Dennis Schroder,42932878,PG/G/UTIL,3200,TOR@CLE 04/29/2026 07:30PM ET,CLE,22.37
,,,,,,,,,,,,,SF/PF,Jamison Battle (42932889),Jamison Battle,42932889,SF/PF/F/UTIL,3200,TOR@CLE 04/29/2026 07:30PM ET,TOR,6.05
,,,,,,,,,,,,,SG/SF,Kevin Huerter (42932881),Kevin Huerter,42932881,SG/SF/F/G/UTIL,3200,ORL@DET 04/29/2026 07:00PM ET,DET,20.45
,,,,,,,,,,,,,PF,Jarred Vanderbilt (42932886),Jarred Vanderbilt,42932886,PF/F/UTIL,3200,HOU@LAL 04/29/2026 10:00PM ET,LAL,13.96
,,,,,,,,,,,,,SF/PF,Keon Ellis (42932893),Keon Ellis,42932893,SF/PF/F/UTIL,3100,TOR@CLE 04/29/2026 07:30PM ET,CLE,13.99
,,,,,,,,,,,,,PG,Bronny James (42932897),Bronny James,42932897,PG/G/UTIL,3100,HOU@LAL 04/29/2026 10:00PM ET,LAL,6.30
,,,,,,,,,,,,,PF/C,Jeff Green (42932900),Jeff Green,42932900,PF/C/F/UTIL,3100,HOU@LAL 04/29/2026 10:00PM ET,HOU,3.80
,,,,,,,,,,,,,SG/SF,Gradey Dick (42932907),Gradey Dick,42932907,SG/SF/F/G/UTIL,3000,TOR@CLE 04/29/2026 07:30PM ET,TOR,10.62
,,,,,,,,,,,,,PF,Nae'Qwan Tomlin (42932916),Nae'Qwan Tomlin,42932916,PF/F/UTIL,3000,TOR@CLE 04/29/2026 07:30PM ET,CLE,12.72
,,,,,,,,,,,,,PG,Craig Porter Jr. (42932919),Craig Porter Jr.,42932919,PG/G/UTIL,3000,TOR@CLE 04/29/2026 07:30PM ET,CLE,15.89
,,,,,,,,,,,,,C,Thomas Bryant (42932922),Thomas Bryant,42932922,C/UTIL,3000,TOR@CLE 04/29/2026 07:30PM ET,CLE,12.80
,,,,,,,,,,,,,C,Trayce Jackson-Davis (42932939),Trayce Jackson-Davis,42932939,C/UTIL,3000,TOR@CLE 04/29/2026 07:30PM ET,TOR,9.03
,,,,,,,,,,,,,PG/SG,Tyrese Proctor (42932948),Tyrese Proctor,42932948,PG/SG/G/UTIL,3000,TOR@CLE 04/29/2026 07:30PM ET,CLE,10.19
,,,,,,,,,,,,,PF/C,Jonathan Mogbo (42932960),Jonathan Mogbo,42932960,PF/C/F/UTIL,3000,TOR@CLE 04/29/2026 07:30PM ET,TOR,5.20
,,,,,,,,,,,,,C,Larry Nance Jr. (42932970),Larry Nance Jr.,42932970,C/UTIL,3000,TOR@CLE 04/29/2026 07:30PM ET,CLE,9.52
,,,,,,,,,,,,,SG/SF,AJ Lawson (42932980),AJ Lawson,42932980,SG/SF/F/G/UTIL,3000,TOR@CLE 04/29/2026 07:30PM ET,TOR,7.69
,,,,,,,,,,,,,SG,Alijah Martin (42932994),Alijah Martin,42932994,SG/G/UTIL,3000,TOR@CLE 04/29/2026 07:30PM ET,TOR,5.10
,,,,,,,,,,,,,SG/SF,Garrett Temple (42932997),Garrett Temple,42932997,SG/SF/F/G/UTIL,3000,TOR@CLE 04/29/2026 07:30PM ET,TOR,2.32
,,,,,,,,,,,,,SF,Tristan Enaruna (42933010),Tristan Enaruna,42933010,SF/F/UTIL,3000,TOR@CLE 04/29/2026 07:30PM ET,CLE,8.33
,,,,,,,,,,,,,SF,Riley Minix (42933013),Riley Minix,42933013,SF/F/UTIL,3000,TOR@CLE 04/29/2026 07:30PM ET,CLE,6.28
,,,,,,,,,,,,,C,Olivier Sarr (42933024),Olivier Sarr,42933024,C/UTIL,3000,TOR@CLE 04/29/2026 07:30PM ET,CLE,11.31
,,,,,,,,,,,,,PG,Chucky Hepburn (42933031),Chucky Hepburn,42933031,PG/G/UTIL,3000,TOR@CLE 04/29/2026 07:30PM ET,TOR,2.88
,,,,,,,,,,,,,PF,Ronald Holland II (42932904),Ronald Holland II,42932904,PF/F/UTIL,3000,ORL@DET 04/29/2026 07:00PM ET,DET,17.56
,,,,,,,,,,,,,C,Paul Reed (42932914),Paul Reed,42932914,C/UTIL,3000,ORL@DET 04/29/2026 07:00PM ET,DET,18.18
,,,,,,,,,,,,,SF/PF,Noah Penda (42932924),Noah Penda,42932924,SF/PF/F/UTIL,3000,ORL@DET 04/29/2026 07:00PM ET,ORL,10.88
,,,,,,,,,,,,,SG,Jett Howard (42932933),Jett Howard,42932933,SG/G/UTIL,3000,ORL@DET 04/29/2026 07:00PM ET,ORL,9.53
,,,,,,,,,,,,,PG,Jase Richardson (42932936),Jase Richardson,42932936,PG/G/UTIL,3000,ORL@DET 04/29/2026 07:00PM ET,ORL,8.26
,,,,,,,,,,,,,PG,Jevon Carter (42932941),Jevon Carter,42932941,PG/G/UTIL,3000,ORL@DET 04/29/2026 07:00PM ET,ORL,12.82
,,,,,,,,,,,,,PF/C,Jonathan Isaac (42932944),Jonathan Isaac,42932944,PF/C/F/UTIL,3000,ORL@DET 04/29/2026 07:00PM ET,ORL,8.24
,,,,,,,,,,,,,PG/SG,Marcus Sasser (42932964),Marcus Sasser,42932964,PG/SG/G/UTIL,3000,ORL@DET 04/29/2026 07:00PM ET,DET,10.58
,,,,,,,,,,,,,C,Moritz Wagner (42932968),Moritz Wagner,42932968,C/UTIL,3000,ORL@DET 04/29/2026 07:00PM ET,ORL,12.41
,,,,,,,,,,,,,SF,Chaz Lanier (42932972),Chaz Lanier,42932972,SF/F/UTIL,3000,ORL@DET 04/29/2026 07:00PM ET,DET,4.60
,,,,,,,,,,,,,C,Tolu Smith (42933002),Tolu Smith,42933002,C/UTIL,3000,ORL@DET 04/29/2026 07:00PM ET,DET,9.95
,,,,,,,,,,,,,PF/C,Isaac Jones (42933016),Isaac Jones,42933016,PF/C/F/UTIL,3000,ORL@DET 04/29/2026 07:00PM ET,DET,2.61
,,,,,,,,,,,,,SF/PF,Wendell Moore Jr. (42933020),Wendell Moore Jr.,42933020,SF/PF/F/UTIL,3000,ORL@DET 04/29/2026 07:00PM ET,DET,5.17
,,,,,,,,,,,,,PG,Alex Morales (42933026),Alex Morales,42933026,PG/G/UTIL,3000,ORL@DET 04/29/2026 07:00PM ET,ORL,3.94
,,,,,,,,,,,,,C,Colin Castleton (42933029),Colin Castleton,42933029,C/UTIL,3000,ORL@DET 04/29/2026 07:00PM ET,ORL,4.38
,,,,,,,,,,,,,C,Clint Capela (42932912),Clint Capela,42932912,C/UTIL,3000,HOU@LAL 04/29/2026 10:00PM ET,HOU,12.59
,,,,,,,,,,,,,SG/SF,Dalton Knecht (42932928),Dalton Knecht,42932928,SG/SF/F/G/UTIL,3000,HOU@LAL 04/29/2026 10:00PM ET,LAL,7.59
,,,,,,,,,,,,,SF/PF,Jae'Sean Tate (42932952),Jae'Sean Tate,42932952,SF/PF/F/UTIL,3000,HOU@LAL 04/29/2026 10:00PM ET,HOU,5.97
,,,,,,,,,,,,,PF/C,Maxi Kleber (42932956),Maxi Kleber,42932956,PF/C/F/UTIL,3000,HOU@LAL 04/29/2026 10:00PM ET,LAL,6.77
,,,,,,,,,,,,,PG,Nick Smith Jr. (42932975),Nick Smith Jr.,42932975,PG/G/UTIL,3000,HOU@LAL 04/29/2026 10:00PM ET,LAL,9.24
,,,,,,,,,,,,,C,Steven Adams (42932978),Steven Adams,42932978,C/UTIL,3000,HOU@LAL 04/29/2026 10:00PM ET,HOU,21.09
,,,,,,,,,,,,,PG,JD Davison (42932985),JD Davison,42932985,PG/G/UTIL,3000,HOU@LAL 04/29/2026 10:00PM ET,HOU,6.62
,,,,,,,,,,,,,C,Drew Timme (42932988),Drew Timme,42932988,C/UTIL,3000,HOU@LAL 04/29/2026 10:00PM ET,LAL,6.62
,,,,,,,,,,,,,SF/PF,Adou Thiero (42932990),Adou Thiero,42932990,SF/PF/F/UTIL,3000,HOU@LAL 04/29/2026 10:00PM ET,LAL,4.36
,,,,,,,,,,,,,SF,Isaiah Crawford (42933004),Isaiah Crawford,42933004,SF/F/UTIL,3000,HOU@LAL 04/29/2026 10:00PM ET,HOU,4.64
,,,,,,,,,,,,,SG,Chris Manon (42933007),Chris Manon,42933007,SG/G/UTIL,3000,HOU@LAL 04/29/2026 10:00PM ET,LAL,4.17
,,,,,,,,,,,,,PG,Tristen Newton (42933034),Tristen Newton,42933034,PG/G/UTIL,3000,HOU@LAL 04/29/2026 10:00PM ET,HOU,18.75
,,,,,,,,,,,,,PG,Fred VanVleet (42933037),Fred VanVleet,42933037,PG/G/UTIL,3000,HOU@LAL 04/29/2026 10:00PM ET,HOU,0
