Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,Instructions,,,,,,,,
5114090084,MLB $300 Dime Time [Just $0.10!],189658994,$0.10,Bryan Woo (42633717),MacKenzie Gore (42633720),Drake Baldwin (42633770),Yandy Diaz (42633762),Ozzie Albies (42633823),Isaac Paredes (42633798),Carlos Correa (42633774),Chase DeLauter (42633790),Masataka Yoshida (42633899),Randal Grichuk (42634014),SP,Brandon Woodruff (42634178),Brandon Woodruff,42634178,P,9000,TOR@MIL 04/14/2026 07:40PM ET,MIL,15.37
5114090085,MLB $300 Dime Time [Just $0.10!],189658994,$0.10,Bryan Woo (42633717),MacKenzie Gore (42633720),Drake Baldwin (42633770),Matt Olson (42633776),Jose Altuve (42633755),Isaac Paredes (42633798),Trevor Story (42633824),Chase DeLauter (42633790),Masataka Yoshida (42633899),Randal Grichuk (42634014),SP,Logan Henderson (42634179),Logan Henderson,42634179,P,9000,TOR@MIL 04/14/2026 07:40PM ET,MIL,4.1
5114090086,MLB $300 Dime Time [Just $0.10!],189658994,$0.10,Kevin Gausman (42633716),Bryan Woo (42633717),Drake Baldwin (42633770),Jonathan Aranda (42633795),Isaac Paredes (42633798),Yandy Diaz (42633762),Carlos Correa (42633774),Chase DeLauter (42633790),Randal Grichuk (42634014),Eloy Jimenez (42634034),RP,Kyle Harrison (42634181),Kyle Harrison,42634181,P,9000,TOR@MIL 04/14/2026 07:40PM ET,MIL,15.6
5114090087,MLB $300 Dime Time [Just $0.10!],189658994,$0.10,Bryan Woo (42633717),Yoshinobu Yamamoto (42633719),Drake Baldwin (42633770),Matt Olson (42633776),Isaac Paredes (42633798),Yandy Diaz (42633762),Carlos Correa (42633774),Chase DeLauter (42633790),Randal Grichuk (42634014),Ryan Vilade (42634033),SP,Cam Schlittler (42634180),Cam Schlittler,42634180,P,9000,LAA@NYY 04/14/2026 07:05PM ET,NYY,23.79
5114090088,MLB $300 Dime Time [Just $0.10!],189658994,$0.10,Kevin Gausman (42633716),Bryan Woo (42633717),Drake Baldwin (42633770),Freddie Freeman (42633751),Ozzie Albies (42633823),Isaac Paredes (42633798),Carlos Correa (42633774),Chase DeLauter (42633790),Randal Grichuk (42634014),Bryce Teodosio (42634029),SP,Gerrit Cole (42634182),Gerrit Cole,42634182,P,9000,LAA@NYY 04/14/2026 07:05PM ET,NYY,0
5114090089,MLB $300 Dime Time [Just $0.10!],189658994,$0.10,Kevin Gausman (42633716),Bryan Woo (42633717),Drake Baldwin (42633770),Yandy Diaz (42633762),Jose Altuve (42633755),Isaac Paredes (42633798),Trevor Story (42633824),Chase DeLauter (42633790),Randal Grichuk (42634014),Ryan Vilade (42634033),SP,Carlos Rodon (42634183),Carlos Rodon,42634183,P,9000,LAA@NYY 04/14/2026 07:05PM ET,NYY,0
5114090090,MLB $300 Dime Time [Just $0.10!],189658994,$0.10,Kevin Gausman (42633716),MacKenzie Gore (42633720),Will Smith (42633797),Matt Olson (42633776),Jose Altuve (42633755),Carlos Correa (42633774),Trevor Story (42633824),Giancarlo Stanton (42633800),Masataka Yoshida (42633899),Randal Grichuk (42634014),SP,Yoshinobu Yamamoto (42633719),Yoshinobu Yamamoto,42633719,P,8800,NYM@LAD 04/14/2026 10:10PM ET,LAD,18.77
5114090091,MLB $300 Dime Time [Just $0.10!],189658994,$0.10,Kevin Gausman (42633716),MacKenzie Gore (42633720),Carlos Narvaez (42634013),Matt Olson (42633776),Jose Altuve (42633755),Yandy Diaz (42633762),Carlos Correa (42633774),Giancarlo Stanton (42633800),Masataka Yoshida (42633899),Eloy Jimenez (42634034),SP,Tyler Glasnow (42634184),Tyler Glasnow,42634184,P,8800,NYM@LAD 04/14/2026 10:10PM ET,LAD,20.77
5114090092,MLB $300 Dime Time [Just $0.10!],189658994,$0.10,Kevin Gausman (42633716),MacKenzie Gore (42633720),Will Smith (42633797),Freddie Freeman (42633751),Brice Matthews (42633853),Yandy Diaz (42633762),Carlos Correa (42633774),Giancarlo Stanton (42633800),Masataka Yoshida (42633899),Eloy Jimenez (42634034),SP,Blake Snell (42634185),Blake Snell,42634185,P,8800,NYM@LAD 04/14/2026 10:10PM ET,LAD,0
5114090093,MLB $300 Dime Time [Just $0.10!],189658994,$0.10,Kevin Gausman (42633716),MacKenzie Gore (42633720),Will Smith (42633797),Paul Goldschmidt (42633842),Jose Altuve (42633755),Yandy Diaz (42633762),Carlos Correa (42633774),Giancarlo Stanton (42633800),Masataka Yoshida (42633899),Tanner Murray (42634019),SP,Freddy Peralta (42634186),Freddy Peralta,42634186,P,8800,NYM@LAD 04/14/2026 10:10PM ET,NYM,17.06
5114090094,MLB $300 Dime Time [Just $0.10!],189658994,$0.10,Kevin Gausman (42633716),MacKenzie Gore (42633720),Carlos Narvaez (42634013),Freddie Freeman (42633751),Jose Altuve (42633755),Yandy Diaz (42633762),Carlos Correa (42633774),Giancarlo Stanton (42633800),Trent Grisham (42633850),Tanner Murray (42634019),RP,Spencer Strider (42634187),Spencer Strider,42634187,P,8700,MIA@ATL 04/14/2026 07:15PM ET,ATL,0
5114090095,MLB $300 Dime Time [Just $0.10!],189658994,$0.10,Kevin Gausman (42633716),MacKenzie Gore (42633720),Will Smith (42633797),Matt Olson (42633776),Brice Matthews (42633853),Yandy Diaz (42633762),Carlos Correa (42633774),Giancarlo Stanton (42633800),Trent Grisham (42633850),Tanner Murray (42634019),SP,Spencer Schwellenbach (42634188),Spencer Schwellenbach,42634188,P,8700,MIA@ATL 04/14/2026 07:15PM ET,ATL,0
5114094417,MLB $300 Dime Time [Just $0.10!],189659144,$0.10,Kevin Gausman (42633716),MacKenzie Gore (42633720),Will Smith (42633797),Matt Olson (42633776),Jose Altuve (42633755),Carlos Correa (42633774),Trevor Story (42633824),Giancarlo Stanton (42633800),Masataka Yoshida (42633899),Bryce Teodosio (42634029),SP,MacKenzie Gore (42633720),MacKenzie Gore,42633720,P,8600,TEX@ATH 04/14/2026 09:40PM ET,TEX,25.25
5114094418,MLB $300 Dime Time [Just $0.10!],189659144,$0.10,Kevin Gausman (42633716),MacKenzie Gore (42633720),Carlos Narvaez (42634013),Matt Olson (42633776),Jose Altuve (42633755),Yandy Diaz (42633762),Carlos Correa (42633774),Giancarlo Stanton (42633800),Masataka Yoshida (42633899),Eloy Jimenez (42634034),SP,Jacob deGrom (42634189),Jacob deGrom,42634189,P,8600,TEX@ATH 04/14/2026 09:40PM ET,TEX,21.42
5114094419,MLB $300 Dime Time [Just $0.10!],189659144,$0.10,Kevin Gausman (42633716),MacKenzie Gore (42633720),Will Smith (42633797),Freddie Freeman (42633751),Brice Matthews (42633853),Yandy Diaz (42633762),Carlos Correa (42633774),Giancarlo Stanton (42633800),Masataka Yoshida (42633899),Eloy Jimenez (42634034),SP,Jack Leiter (42634190),Jack Leiter,42634190,P,8600,TEX@ATH 04/14/2026 09:40PM ET,TEX,17
5114094420,MLB $300 Dime Time [Just $0.10!],189659144,$0.10,Kevin Gausman (42633716),MacKenzie Gore (42633720),Will Smith (42633797),Jonathan Aranda (42633795),Jose Altuve (42633755),Yandy Diaz (42633762),Trevor Story (42633824),Giancarlo Stanton (42633800),Eloy Jimenez (42634034),Brice Matthews (42633853),SP,Ronel Blanco (42634191),Ronel Blanco,42634191,P,8600,COL@HOU 04/14/2026 08:10PM ET,HOU,0
5114094421,MLB $300 Dime Time [Just $0.10!],189659144,$0.10,Kevin Gausman (42633716),MacKenzie Gore (42633720),Will Smith (42633797),Matt Olson (42633776),Jose Altuve (42633755),Yandy Diaz (42633762),Trevor Story (42633824),Masataka Yoshida (42633899),Brice Matthews (42633853),Tanner Murray (42634019),SP,Tatsuya Imai (42634192),Tatsuya Imai,42634192,P,8600,COL@HOU 04/14/2026 08:10PM ET,HOU,8.03
5114094422,MLB $300 Dime Time [Just $0.10!],189659144,$0.10,Yoshinobu Yamamoto (42633719),MacKenzie Gore (42633720),Will Smith (42633797),Matt Olson (42633776),Jose Altuve (42633755),Yandy Diaz (42633762),Trevor Story (42633824),Giancarlo Stanton (42633800),Bryce Teodosio (42634029),Brice Matthews (42633853),SP,George Kirby (42634193),George Kirby,42634193,P,8500,SEA@SD 04/14/2026 09:40PM ET,SEA,20.14
5114094423,MLB $300 Dime Time [Just $0.10!],189659144,$0.10,Yoshinobu Yamamoto (42633719),MacKenzie Gore (42633720),Will Smith (42633797),Matt Olson (42633776),Jose Altuve (42633755),Jose Ramirez (42633741),Jose Caballero (42633950),Giancarlo Stanton (42633800),Eloy Jimenez (42634034),Brice Matthews (42633853),SP,Emerson Hancock (42634195),Emerson Hancock,42634195,P,8500,SEA@SD 04/14/2026 09:40PM ET,SEA,23.12
5114094424,MLB $300 Dime Time [Just $0.10!],189659144,$0.10,Yoshinobu Yamamoto (42633719),MacKenzie Gore (42633720),Will Smith (42633797),Shohei Ohtani (42633736),Jose Altuve (42633755),Amed Rosario (42633890),Trevor Story (42633824),Giancarlo Stanton (42633800),Eloy Jimenez (42634034),Brice Matthews (42633853),RP,Jose Soriano (42634194),Jose Soriano,42634194,P,8500,LAA@NYY 04/14/2026 07:05PM ET,LAA,31.49
5114094425,MLB $300 Dime Time [Just $0.10!],189659144,$0.10,Yoshinobu Yamamoto (42633719),MacKenzie Gore (42633720),Will Smith (42633797),Jonathan Aranda (42633795),Jose Altuve (42633755),Jose Ramirez (42633741),Trevor Story (42633824),Masataka Yoshida (42633899),Eloy Jimenez (42634034),Brice Matthews (42633853),SP,Joe Musgrove (42634196),Joe Musgrove,42634196,P,8400,SEA@SD 04/14/2026 09:40PM ET,SD,0
5114094426,MLB $300 Dime Time [Just $0.10!],189659144,$0.10,Yoshinobu Yamamoto (42633719),MacKenzie Gore (42633720),Will Smith (42633797),Christian Walker (42633769),Jose Altuve (42633755),Jose Ramirez (42633741),Mauricio Dubon (42633873),Giancarlo Stanton (42633800),Masataka Yoshida (42633899),Eloy Jimenez (42634034),SP,Joe Ryan (42634197),Joe Ryan,42634197,P,8300,BOS@MIN 04/14/2026 07:40PM ET,MIN,17.05
5114094427,MLB $300 Dime Time [Just $0.10!],189659144,$0.10,Bryan Woo (42633717),MacKenzie Gore (42633720),Drake Baldwin (42633770),Matt Olson (42633776),Jose Altuve (42633755),Isaac Paredes (42633798),Trevor Story (42633824),Chase DeLauter (42633790),Masataka Yoshida (42633899),Randal Grichuk (42634014),SP,Pablo Lopez (42634199),Pablo Lopez,42634199,P,8300,BOS@MIN 04/14/2026 07:40PM ET,MIN,0
5114094428,MLB $300 Dime Time [Just $0.10!],189659144,$0.10,Bryan Woo (42633717),MacKenzie Gore (42633720),Drake Baldwin (42633770),Yandy Diaz (42633762),Ozzie Albies (42633823),Isaac Paredes (42633798),Carlos Correa (42633774),Chase DeLauter (42633790),Masataka Yoshida (42633899),Randal Grichuk (42634014),SP,Nolan McLean (42633721),Nolan McLean,42633721,P,8300,NYM@LAD 04/14/2026 10:10PM ET,NYM,20.83
5114094429,MLB $300 Dime Time [Just $0.10!],189659144,$0.10,Bryan Woo (42633717),MacKenzie Gore (42633720),Drake Baldwin (42633770),Matt Olson (42633776),Jose Altuve (42633755),Isaac Paredes (42633798),Trevor Story (42633824),Chase DeLauter (42633790),Masataka Yoshida (42633899),Randal Grichuk (42634014),RP,Clay Holmes (42634198),Clay Holmes,42634198,P,8300,NYM@LAD 04/14/2026 10:10PM ET,NYM,18.17
5114094430,MLB $300 Dime Time [Just $0.10!],189659144,$0.10,Bryan Woo (42633717),MacKenzie Gore (42633720),Drake Baldwin (42633770),Yandy Diaz (42633762),Ozzie Albies (42633823),Isaac Paredes (42633798),Carlos Correa (42633774),Chase DeLauter (42633790),Masataka Yoshida (42633899),Randal Grichuk (42634014),SP,Emmet Sheehan (42634204),Emmet Sheehan,42634204,P,8300,NYM@LAD 04/14/2026 10:10PM ET,LAD,11.52
5114094431,MLB $300 Dime Time [Just $0.10!],189659144,$0.10,Bryan Woo (42633717),MacKenzie Gore (42633720),Drake Baldwin (42633770),Matt Olson (42633776),Jose Altuve (42633755),Isaac Paredes (42633798),Trevor Story (42633824),Chase DeLauter (42633790),Masataka Yoshida (42633899),Randal Grichuk (42634014),SP,Kodai Senga (42634205),Kodai Senga,42634205,P,8300,NYM@LAD 04/14/2026 10:10PM ET,NYM,11.03
5114094432,MLB $300 Dime Time [Just $0.10!],189659144,$0.10,Kevin Gausman (42633716),Bryan Woo (42633717),Drake Baldwin (42633770),Jonathan Aranda (42633795),Isaac Paredes (42633798),Yandy Diaz (42633762),Carlos Correa (42633774),Chase DeLauter (42633790),Randal Grichuk (42634014),Eloy Jimenez (42634034),SP,Tylor Megill (42634206),Tylor Megill,42634206,P,8300,NYM@LAD 04/14/2026 10:10PM ET,NYM,0
5114094433,MLB $300 Dime Time [Just $0.10!],189659144,$0.10,Bryan Woo (42633717),MacKenzie Gore (42633720),Drake Baldwin (42633770),Matt Olson (42633776),Jose Altuve (42633755),Isaac Paredes (42633798),Trevor Story (42633824),Chase DeLauter (42633790),Masataka Yoshida (42633899),Randal Grichuk (42634014),SP,Gavin Williams (42634200),Gavin Williams,42634200,P,8300,CLE@STL 04/14/2026 07:45PM ET,CLE,22.35
5114094434,MLB $300 Dime Time [Just $0.10!],189659144,$0.10,Kevin Gausman (42633716),Bryan Woo (42633717),Drake Baldwin (42633770),Jonathan Aranda (42633795),Isaac Paredes (42633798),Yandy Diaz (42633762),Carlos Correa (42633774),Chase DeLauter (42633790),Randal Grichuk (42634014),Eloy Jimenez (42634034),SP,Tanner Bibee (42634201),Tanner Bibee,42634201,P,8300,CLE@STL 04/14/2026 07:45PM ET,CLE,8.31
5114094435,MLB $300 Dime Time [Just $0.10!],189659144,$0.10,Kevin Gausman (42633716),MacKenzie Gore (42633720),Will Smith (42633797),Matt Olson (42633776),Jose Altuve (42633755),Carlos Correa (42633774),Trevor Story (42633824),Giancarlo Stanton (42633800),Masataka Yoshida (42633899),Randal Grichuk (42634014),SP,Parker Messick (42634202),Parker Messick,42634202,P,8300,CLE@STL 04/14/2026 07:45PM ET,CLE,22.72
5114094436,MLB $300 Dime Time [Just $0.10!],189659144,$0.10,Kevin Gausman (42633716),MacKenzie Gore (42633720),Carlos Narvaez (42634013),Matt Olson (42633776),Jose Altuve (42633755),Yandy Diaz (42633762),Carlos Correa (42633774),Giancarlo Stanton (42633800),Masataka Yoshida (42633899),Eloy Jimenez (42634034),SP,Slade Cecconi (42634203),Slade Cecconi,42634203,P,8300,CLE@STL 04/14/2026 07:45PM ET,CLE,10.02
,,,,,,,,,,,,,,SP,Sonny Gray (42633722),Sonny Gray,42633722,P,8200,BOS@MIN 04/14/2026 07:40PM ET,BOS,15.05
,,,,,,,,,,,,,,SP,Ranger Suarez (42634207),Ranger Suarez,42634207,P,8200,BOS@MIN 04/14/2026 07:40PM ET,BOS,9.88
,,,,,,,,,,,,,,SP,Connelly Early (42634208),Connelly Early,42634208,P,8200,BOS@MIN 04/14/2026 07:40PM ET,BOS,13.18
,,,,,,,,,,,,,,SP,Shane McClanahan (42633723),Shane McClanahan,42633723,P,8100,TB@CWS 04/14/2026 07:40PM ET,TB,11.75
,,,,,,,,,,,,,,RP,Joe Boyle (42634209),Joe Boyle,42634209,P,8100,TB@CWS 04/14/2026 07:40PM ET,TB,13.02
,,,,,,,,,,,,,,RP,Ian Seymour (42634210),Ian Seymour,42634210,P,8100,TB@CWS 04/14/2026 07:40PM ET,TB,2.27
,,,,,,,,,,,,,,SP,Steven Matz (42634211),Steven Matz,42634211,P,8100,TB@CWS 04/14/2026 07:40PM ET,TB,19.47
,,,,,,,,,,,,,,RP,Jeffrey Springs (42633724),Jeffrey Springs,42633724,P,8000,TEX@ATH 04/14/2026 09:40PM ET,ATH,21.62
,,,,,,,,,,,,,,RP,Aaron Civale (42634218),Aaron Civale,42634218,P,8000,TEX@ATH 04/14/2026 09:40PM ET,ATH,17.42
,,,,,,,,,,,,,,RP,J.T. Ginn (42634219),J.T. Ginn,42634219,P,8000,TEX@ATH 04/14/2026 09:40PM ET,ATH,6.69
,,,,,,,,,,,,,,SP,Chad Patrick (42634213),Chad Patrick,42634213,P,8000,TOR@MIL 04/14/2026 07:40PM ET,MIL,11.18
,,,,,,,,,,,,,,RP,Jake Woodford (42634214),Jake Woodford,42634214,P,8000,TOR@MIL 04/14/2026 07:40PM ET,MIL,3.7
,,,,,,,,,,,,,,SP,Brandon Sproat (42634215),Brandon Sproat,42634215,P,8000,TOR@MIL 04/14/2026 07:40PM ET,MIL,1.62
,,,,,,,,,,,,,,SP,Quinn Priester (42634217),Quinn Priester,42634217,P,8000,TOR@MIL 04/14/2026 07:40PM ET,MIL,0
,,,,,,,,,,,,,,SP,Will Warren (42634212),Will Warren,42634212,P,8000,LAA@NYY 04/14/2026 07:05PM ET,NYY,15.21
,,,,,,,,,,,,,,SP,Clarke Schmidt (42634216),Clarke Schmidt,42634216,P,8000,LAA@NYY 04/14/2026 07:05PM ET,NYY,0
,,,,,,,,,,,,,,RP,Michael King (42633725),Michael King,42633725,P,7900,SEA@SD 04/14/2026 09:40PM ET,SD,15.63
,,,,,,,,,,,,,,SP,Nick Pivetta (42634220),Nick Pivetta,42634220,P,7900,SEA@SD 04/14/2026 09:40PM ET,SD,15.3
,,,,,,,,,,,,,,SP,Randy Vasquez (42634221),Randy Vasquez,42634221,P,7900,SEA@SD 04/14/2026 09:40PM ET,SD,21.92
,,,,,,,,,,,,,,SP,Max Meyer (42633726),Max Meyer,42633726,P,7800,MIA@ATL 04/14/2026 07:15PM ET,MIA,14.33
,,,,,,,,,,,,,,SP,Eury Perez (42634222),Eury Perez,42634222,P,7800,MIA@ATL 04/14/2026 07:15PM ET,MIA,11.3
,,,,,,,,,,,,,,RP,Janson Junk (42634223),Janson Junk,42634223,P,7800,MIA@ATL 04/14/2026 07:15PM ET,MIA,10.97
,,,,,,,,,,,,,,SP,Taj Bradley (42634226),Taj Bradley,42634226,P,7800,BOS@MIN 04/14/2026 07:40PM ET,MIN,23.84
,,,,,,,,,,,,,,SP,Roki Sasaki (42634225),Roki Sasaki,42634225,P,7800,NYM@LAD 04/14/2026 10:10PM ET,LAD,8.95
,,,,,,,,,,,,,,SP,Bryce Miller (42634224),Bryce Miller,42634224,P,7800,SEA@SD 04/14/2026 09:40PM ET,SEA,0
,,,,,,,,,,,,,,SP,Noah Schultz (42633727),Noah Schultz,42633727,P,7700,TB@CWS 04/14/2026 07:40PM ET,CWS,0
,,,,,,,,,,,,,,SP,Davis Martin (42634227),Davis Martin,42634227,P,7700,TB@CWS 04/14/2026 07:40PM ET,CWS,18.63
,,,,,,,,,,,,,,RP,Anthony Kay (42634228),Anthony Kay,42634228,P,7700,TB@CWS 04/14/2026 07:40PM ET,CWS,13.2
,,,,,,,,,,,,,,RP,Cody Bradford (42634231),Cody Bradford,42634231,P,7600,TEX@ATH 04/14/2026 09:40PM ET,TEX,0
,,,,,,,,,,,,,,SP,Jordan Montgomery (42634232),Jordan Montgomery,42634232,P,7600,TEX@ATH 04/14/2026 09:40PM ET,TEX,0
,,,,,,,,,,,,,,RP,Jakob Junis (42634233),Jakob Junis,42634233,P,7600,TEX@ATH 04/14/2026 09:40PM ET,TEX,3.86
,,,,,,,,,,,,,,SP,Nathan Eovaldi (42634234),Nathan Eovaldi,42634234,P,7600,TEX@ATH 04/14/2026 09:40PM ET,TEX,15.74
,,,,,,,,,,,,,,SP,Kumar Rocker (42634235),Kumar Rocker,42634235,P,7600,TEX@ATH 04/14/2026 09:40PM ET,TEX,10.05
,,,,,,,,,,,,,,RP,Jacob Latz (42634236),Jacob Latz,42634236,P,7600,TEX@ATH 04/14/2026 09:40PM ET,TEX,5.09
,,,,,,,,,,,,,,RP,Nick Martinez (42634229),Nick Martinez,42634229,P,7600,TB@CWS 04/14/2026 07:40PM ET,TB,13.97
,,,,,,,,,,,,,,SP,Ryan Pepiot (42634230),Ryan Pepiot,42634230,P,7600,TB@CWS 04/14/2026 07:40PM ET,TB,0
