Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
5125224116,NBA $20K mini-MAX [150 Max Entry],189967930,$0.50,Shai Gilgeous-Alexander (42763642),Isaiah Joe (42763790),Cameron Johnson (42763734),Chet Holmgren (42763661),Nikola Jokic (42763640),Daniss Jenkins (42763806),Tristan da Silva (42763841),Jordan Goodwin (42763725),,SG/SF,Ayo Dosunmu (42763698),Ayo Dosunmu,42763698,SG/SF/F/G/UTIL,5800,MIN@DEN 04/27/2026 10:30PM ET,MIN,27.37
5125224007,NBA $1 Winner Take All [$100 to 1st],189968079,$1,Jamal Murray (42763648),Desmond Bane (42763678),Aaron Wiggins (42763827),Paolo Banchero (42763654),Nikola Jokic (42763640),Jared McCain (42763815),Kyle Anderson (42763811),Branden Carlson (42763912),,C,Wendell Carter Jr. (42763703),Wendell Carter Jr.,42763703,C/UTIL,5700,DET@ORL 04/27/2026 08:00PM ET,ORL,27.06
5125218792,NBA $1 Winner Take All [$100 to 1st],189968080,$1,Jamal Murray (42763648),Duncan Robinson (42763758),Cason Wallace (42763746),Chet Holmgren (42763661),Nikola Jokic (42763640),Bones Hyland (42763761),Royce O'Neale (42763751),Kevin Huerter (42763793),,PF/C,Aaron Gordon (42763705),Aaron Gordon,42763705,PF/C/F/UTIL,5500,MIN@DEN 04/27/2026 10:30PM ET,DEN,29.08
5125218817,NBA $1 Winner Take All [$100 to 1st],189968080,$1,Shai Gilgeous-Alexander (42763642),Devin Booker (42763657),Ausar Thompson (42763695),Ronald Holland II (42763857),Jalen Duren (42763667),Jamal Murray (42763648),Julian Strawther (42763876),Nikola Topic (42763945),,C,Isaiah Hartenstein (42763709),Isaiah Hartenstein,42763709,C/UTIL,5400,OKC@PHX 04/27/2026 09:30PM ET,OKC,29.02
5125218779,NBA $1 Winner Take All [$100 to 1st],189968122,$1,Cade Cunningham (42763645),Devin Booker (42763657),Grayson Allen (42763738),Cameron Johnson (42763734),Nikola Jokic (42763640),Daniss Jenkins (42763806),Kevin Huerter (42763793),Branden Carlson (42763912),,PG,Ajay Mitchell (42763711),Ajay Mitchell,42763711,PG/G/UTIL,5200,OKC@PHX 04/27/2026 09:30PM ET,OKC,26.18
5125218745,NBA $1 Winner Take All [$100 to 1st],189968123,$1,Cade Cunningham (42763645),Desmond Bane (42763678),Javonte Green (42763783),Julius Randle (42763664),Nikola Jokic (42763640),Terrence Shannon Jr. (42763836),Julian Strawther (42763876),Branden Carlson (42763912),,PF/C,Naz Reid (42763714),Naz Reid,42763714,PF/C/F/UTIL,5100,MIN@DEN 04/27/2026 10:30PM ET,MIN,28.64
5125218746,NBA $1 Winner Take All [$100 to 1st],189968123,$1,Shai Gilgeous-Alexander (42763642),Luguentz Dort (42763769),Tristan da Silva (42763841),Chet Holmgren (42763661),Nikola Jokic (42763640),Daniss Jenkins (42763806),Jordan Goodwin (42763725),Tim Hardaway Jr. (42763772),,SG,Christian Braun (42763718),Christian Braun,42763718,SG/G/UTIL,5000,MIN@DEN 04/27/2026 10:30PM ET,DEN,23.66
5125218747,NBA $1 Winner Take All [$100 to 1st],189968123,$1,Jamal Murray (42763648),Desmond Bane (42763678),Tristan da Silva (42763841),Paolo Banchero (42763654),Nikola Jokic (42763640),Daniss Jenkins (42763806),Kyle Anderson (42763811),Branden Carlson (42763912),,C,Oso Ighodaro (42763721),Oso Ighodaro,42763721,C/UTIL,4900,OKC@PHX 04/27/2026 09:30PM ET,PHX,18.97
5125213808,NBA $250 Dime Time [Just $0.10!],189975712,$0.10,Shai Gilgeous-Alexander (42763642),Christian Braun (42763718),Jaden McDaniels (42763686),Chet Holmgren (42763661),Kenrich Williams (42763881),Jamal Murray (42763648),Cameron Johnson (42763734),Duncan Robinson (42763758),,C,Mark Williams (42763723),Mark Williams,42763723,C/UTIL,4800,OKC@PHX 04/27/2026 09:30PM ET,PHX,26.4
5125213809,NBA $250 Dime Time [Just $0.10!],189975712,$0.10,Jamal Murray (42763648),Devin Booker (42763657),Ausar Thompson (42763695),Ronald Holland II (42763857),Nikola Jokic (42763640),Nikola Topic (42763945),Kevin Huerter (42763793),Bones Hyland (42763761),,SG/SF,Jordan Goodwin (42763725),Jordan Goodwin,42763725,SG/SF/F/G/UTIL,4700,OKC@PHX 04/27/2026 09:30PM ET,PHX,21.85
5125213810,NBA $250 Dime Time [Just $0.10!],189975712,$0.10,Cade Cunningham (42763645),Devin Booker (42763657),Grayson Allen (42763738),Paolo Banchero (42763654),Jalen Duren (42763667),Daniss Jenkins (42763806),Cason Wallace (42763746),Jared McCain (42763815),,PG/SG,Anthony Black (42763730),Anthony Black,42763730,PG/SG/G/UTIL,4600,DET@ORL 04/27/2026 08:00PM ET,ORL,28.73
5125213811,NBA $250 Dime Time [Just $0.10!],189975712,$0.10,Cade Cunningham (42763645),Isaiah Joe (42763790),Ausar Thompson (42763695),Chet Holmgren (42763661),Branden Carlson (42763912),Jamal Murray (42763648),Julius Randle (42763664),Julian Strawther (42763876),,SF/PF,Cameron Johnson (42763734),Cameron Johnson,42763734,SF/PF/F/UTIL,4500,MIN@DEN 04/27/2026 10:30PM ET,DEN,23
5125213812,NBA $250 Dime Time [Just $0.10!],189975712,$0.10,Shai Gilgeous-Alexander (42763642),Luguentz Dort (42763769),Jordan Goodwin (42763725),Paolo Banchero (42763654),Jalen Duren (42763667),Devin Booker (42763657),Kevin Huerter (42763793),Terrence Shannon Jr. (42763836),,SG/SF,Grayson Allen (42763738),Grayson Allen,42763738,SG/SF/F/G/UTIL,4500,OKC@PHX 04/27/2026 09:30PM ET,PHX,29.62
5125213813,NBA $250 Dime Time [Just $0.10!],189975712,$0.10,Shai Gilgeous-Alexander (42763642),Isaiah Joe (42763790),Cameron Johnson (42763734),Paolo Banchero (42763654),Branden Carlson (42763912),Jamal Murray (42763648),Chet Holmgren (42763661),Daniss Jenkins (42763806),,PG,Collin Gillespie (42763743),Collin Gillespie,42763743,PG/G/UTIL,4400,OKC@PHX 04/27/2026 09:30PM ET,PHX,27.79
5125213814,NBA $250 Dime Time [Just $0.10!],189975712,$0.10,Shai Gilgeous-Alexander (42763642),Isaiah Joe (42763790),Cameron Johnson (42763734),Paolo Banchero (42763654),Branden Carlson (42763912),Devin Booker (42763657),Julius Randle (42763664),Bones Hyland (42763761),,SG/SF,Cason Wallace (42763746),Cason Wallace,42763746,SG/SF/F/G/UTIL,4400,OKC@PHX 04/27/2026 09:30PM ET,OKC,21.01
5125213815,NBA $250 Dime Time [Just $0.10!],189975712,$0.10,Jamal Murray (42763648),Devin Booker (42763657),Cameron Johnson (42763734),Chet Holmgren (42763661),Jalen Duren (42763667),Nikola Topic (42763945),Cason Wallace (42763746),Isaiah Hartenstein (42763709),,SF/PF,Peyton Watson (42763754),Peyton Watson,42763754,SF/PF/F/UTIL,4300,MIN@DEN 04/27/2026 10:30PM ET,DEN,27.86
5125213816,NBA $250 Dime Time [Just $0.10!],189975712,$0.10,Shai Gilgeous-Alexander (42763642),Devin Booker (42763657),Cason Wallace (42763746),Chet Holmgren (42763661),Branden Carlson (42763912),Jamal Murray (42763648),Kevin Huerter (42763793),Bruce Brown (42763798),,PF,Royce O'Neale (42763751),Royce O'Neale,42763751,PF/F/UTIL,4300,OKC@PHX 04/27/2026 09:30PM ET,PHX,23.39
5125213817,NBA $250 Dime Time [Just $0.10!],189975712,$0.10,Shai Gilgeous-Alexander (42763642),Isaiah Joe (42763790),Jaden McDaniels (42763686),Paolo Banchero (42763654),Kenrich Williams (42763881),Jamal Murray (42763648),Ausar Thompson (42763695),Daniss Jenkins (42763806),,SG,Duncan Robinson (42763758),Duncan Robinson,42763758,SG/G/UTIL,4200,DET@ORL 04/27/2026 08:00PM ET,DET,21.39
5125213818,NBA $250 Dime Time [Just $0.10!],189975712,$0.10,Jamal Murray (42763648),Devin Booker (42763657),Aaron Wiggins (42763827),Chet Holmgren (42763661),Jalen Duren (42763667),Nikola Topic (42763945),Aaron Gordon (42763705),Isaiah Hartenstein (42763709),,PG/SG,Bones Hyland (42763761),Bones Hyland,42763761,PG/SG/G/UTIL,4200,MIN@DEN 04/27/2026 10:30PM ET,MIN,16.57
5125213819,NBA $250 Dime Time [Just $0.10!],189975712,$0.10,Jamal Murray (42763648),Desmond Bane (42763678),Julian Strawther (42763876),Paolo Banchero (42763654),Branden Carlson (42763912),Daniss Jenkins (42763806),Chet Holmgren (42763661),Devin Booker (42763657),,SF/PF,Alex Caruso (42763765),Alex Caruso,42763765,SF/PF/F/UTIL,4100,OKC@PHX 04/27/2026 09:30PM ET,OKC,15.94
5125213820,NBA $250 Dime Time [Just $0.10!],189975712,$0.10,Shai Gilgeous-Alexander (42763642),Jordan Goodwin (42763725),Cameron Johnson (42763734),Chet Holmgren (42763661),Nikola Jokic (42763640),Daniss Jenkins (42763806),Tristan da Silva (42763841),Kevin Huerter (42763793),,SG,Luguentz Dort (42763769),Luguentz Dort,42763769,SG/G/UTIL,4000,OKC@PHX 04/27/2026 09:30PM ET,OKC,17.76
5125213821,NBA $250 Dime Time [Just $0.10!],189975712,$0.10,Jamal Murray (42763648),Devin Booker (42763657),Ausar Thompson (42763695),Ronald Holland II (42763857),Nikola Jokic (42763640),Bones Hyland (42763761),Kyle Anderson (42763811),Branden Carlson (42763912),,SG/SF,Tim Hardaway Jr. (42763772),Tim Hardaway Jr.,42763772,SG/SF/F/G/UTIL,3900,MIN@DEN 04/27/2026 10:30PM ET,DEN,21.08
5125213822,NBA $250 Dime Time [Just $0.10!],189975712,$0.10,Jamal Murray (42763648),Duncan Robinson (42763758),Grayson Allen (42763738),Tobias Harris (42763689),Nikola Jokic (42763640),Jalen Suggs (42763675),Kevin Huerter (42763793),Nikola Topic (42763945),,PF/C,Isaiah Stewart (42763779),Isaiah Stewart,42763779,PF/C/F/UTIL,3800,DET@ORL 04/27/2026 08:00PM ET,DET,21.15
5125213823,NBA $250 Dime Time [Just $0.10!],189975712,$0.10,Shai Gilgeous-Alexander (42763642),Christian Braun (42763718),Julian Strawther (42763876),Julius Randle (42763664),Jalen Duren (42763667),Cade Cunningham (42763645),Kenrich Williams (42763881),Daniss Jenkins (42763806),,C,Jaylin Williams (42763777),Jaylin Williams,42763777,C/UTIL,3800,OKC@PHX 04/27/2026 09:30PM ET,OKC,20.16
5125213824,NBA $250 Dime Time [Just $0.10!],189975712,$0.10,Cade Cunningham (42763645),Devin Booker (42763657),Terrence Shannon Jr. (42763836),Cameron Johnson (42763734),Nikola Jokic (42763640),Ajay Mitchell (42763711),Caris LeVert (42763845),Branden Carlson (42763912),,SF/PF,Javonte Green (42763783),Javonte Green,42763783,SF/PF/F/UTIL,3700,DET@ORL 04/27/2026 08:00PM ET,DET,14.78
5125213825,NBA $250 Dime Time [Just $0.10!],189975712,$0.10,Jamal Murray (42763648),Luguentz Dort (42763769),Julian Strawther (42763876),Paolo Banchero (42763654),Isaiah Hartenstein (42763709),Daniss Jenkins (42763806),Chet Holmgren (42763661),Devin Booker (42763657),,PG,Mike Conley (42763787),Mike Conley,42763787,PG/G/UTIL,3700,MIN@DEN 04/27/2026 10:30PM ET,MIN,12.67
5125213826,NBA $250 Dime Time [Just $0.10!],189975712,$0.10,Shai Gilgeous-Alexander (42763642),Isaiah Joe (42763790),Cameron Johnson (42763734),Chet Holmgren (42763661),Nikola Jokic (42763640),Daniss Jenkins (42763806),Tristan da Silva (42763841),Jordan Goodwin (42763725),,SG/SF,Kevin Huerter (42763793),Kevin Huerter,42763793,SG/SF/F/G/UTIL,3600,DET@ORL 04/27/2026 08:00PM ET,DET,20.72
5125213827,NBA $250 Dime Time [Just $0.10!],189975712,$0.10,Jamal Murray (42763648),Desmond Bane (42763678),Aaron Wiggins (42763827),Paolo Banchero (42763654),Nikola Jokic (42763640),Jared McCain (42763815),Kyle Anderson (42763811),Branden Carlson (42763912),,C,Khaman Maluach (42763804),Khaman Maluach,42763804,C/UTIL,3600,OKC@PHX 04/27/2026 09:30PM ET,PHX,7.95
5125218490,NBA $250 Dime Time [Just $0.10!],189975821,$0.10,Jamal Murray (42763648),Duncan Robinson (42763758),Cason Wallace (42763746),Chet Holmgren (42763661),Nikola Jokic (42763640),Bones Hyland (42763761),Royce O'Neale (42763751),Kevin Huerter (42763793),,C,Paul Reed (42763802),Paul Reed,42763802,C/UTIL,3500,DET@ORL 04/27/2026 08:00PM ET,DET,18.18
5125218491,NBA $250 Dime Time [Just $0.10!],189975821,$0.10,Shai Gilgeous-Alexander (42763642),Devin Booker (42763657),Ausar Thompson (42763695),Ronald Holland II (42763857),Jalen Duren (42763667),Jamal Murray (42763648),Julian Strawther (42763876),Nikola Topic (42763945),,PG/SG,Bruce Brown (42763798),Bruce Brown,42763798,PG/SG/G/UTIL,3500,MIN@DEN 04/27/2026 10:30PM ET,DEN,18.33
5125218492,NBA $250 Dime Time [Just $0.10!],189975821,$0.10,Cade Cunningham (42763645),Devin Booker (42763657),Grayson Allen (42763738),Cameron Johnson (42763734),Nikola Jokic (42763640),Daniss Jenkins (42763806),Kevin Huerter (42763793),Branden Carlson (42763912),,SG,Isaiah Joe (42763790),Isaiah Joe,42763790,SG/G/UTIL,3500,OKC@PHX 04/27/2026 09:30PM ET,OKC,18.75
5125218493,NBA $250 Dime Time [Just $0.10!],189975821,$0.10,Cade Cunningham (42763645),Desmond Bane (42763678),Javonte Green (42763783),Julius Randle (42763664),Nikola Jokic (42763640),Terrence Shannon Jr. (42763836),Julian Strawther (42763876),Branden Carlson (42763912),,PG,Daniss Jenkins (42763806),Daniss Jenkins,42763806,PG/G/UTIL,3400,DET@ORL 04/27/2026 08:00PM ET,DET,19.6
5125218494,NBA $250 Dime Time [Just $0.10!],189975821,$0.10,Shai Gilgeous-Alexander (42763642),Luguentz Dort (42763769),Tristan da Silva (42763841),Chet Holmgren (42763661),Nikola Jokic (42763640),Daniss Jenkins (42763806),Jordan Goodwin (42763725),Tim Hardaway Jr. (42763772),,C,Goga Bitadze (42763809),Goga Bitadze,42763809,C/UTIL,3400,DET@ORL 04/27/2026 08:00PM ET,ORL,16.66
5125218495,NBA $250 Dime Time [Just $0.10!],189975821,$0.10,Jamal Murray (42763648),Desmond Bane (42763678),Tristan da Silva (42763841),Paolo Banchero (42763654),Nikola Jokic (42763640),Daniss Jenkins (42763806),Kyle Anderson (42763811),Branden Carlson (42763912),,PF/C,Kyle Anderson (42763811),Kyle Anderson,42763811,PF/C/F/UTIL,3400,MIN@DEN 04/27/2026 10:30PM ET,MIN,16.48
5125218496,NBA $250 Dime Time [Just $0.10!],189975821,$0.10,Shai Gilgeous-Alexander (42763642),Christian Braun (42763718),Jaden McDaniels (42763686),Chet Holmgren (42763661),Kenrich Williams (42763881),Jamal Murray (42763648),Cameron Johnson (42763734),Duncan Robinson (42763758),,SG/SF,Jaylen Clark (42763819),Jaylen Clark,42763819,SG/SF/F/G/UTIL,3300,MIN@DEN 04/27/2026 10:30PM ET,MIN,8.92
5125218497,NBA $250 Dime Time [Just $0.10!],189975821,$0.10,Jamal Murray (42763648),Devin Booker (42763657),Ausar Thompson (42763695),Ronald Holland II (42763857),Nikola Jokic (42763640),Nikola Topic (42763945),Kevin Huerter (42763793),Bones Hyland (42763761),,PF,Spencer Jones (42763824),Spencer Jones,42763824,PF/F/UTIL,3300,MIN@DEN 04/27/2026 10:30PM ET,DEN,13.15
5125218498,NBA $250 Dime Time [Just $0.10!],189975821,$0.10,Jamal Murray (42763648),Duncan Robinson (42763758),Cason Wallace (42763746),Chet Holmgren (42763661),Nikola Jokic (42763640),Bones Hyland (42763761),Royce O'Neale (42763751),Kevin Huerter (42763793),,PG/SG,Jared McCain (42763815),Jared McCain,42763815,PG/SG/G/UTIL,3300,OKC@PHX 04/27/2026 09:30PM ET,OKC,14.07
5125218499,NBA $250 Dime Time [Just $0.10!],189975821,$0.10,Shai Gilgeous-Alexander (42763642),Devin Booker (42763657),Ausar Thompson (42763695),Ronald Holland II (42763857),Jalen Duren (42763667),Jamal Murray (42763648),Julian Strawther (42763876),Nikola Topic (42763945),,SG/SF,Jamal Cain (42763831),Jamal Cain,42763831,SG/SF/F/G/UTIL,3200,DET@ORL 04/27/2026 08:00PM ET,ORL,9.46
5125218500,NBA $250 Dime Time [Just $0.10!],189975821,$0.10,Cade Cunningham (42763645),Devin Booker (42763657),Grayson Allen (42763738),Cameron Johnson (42763734),Nikola Jokic (42763640),Daniss Jenkins (42763806),Kevin Huerter (42763793),Branden Carlson (42763912),,SG/SF,Terrence Shannon Jr. (42763836),Terrence Shannon Jr.,42763836,SG/SF/F/G/UTIL,3200,MIN@DEN 04/27/2026 10:30PM ET,MIN,9.01
