Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
5112662473,NBA $1K Elbow Shot [Single Entry] ,189570840,$2,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
5112662443,NBA $750 Quarter Jukebox [Just $0.25!] ,189620275,$0.25,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
5112662444,NBA $750 Quarter Jukebox [Just $0.25!] ,189620275,$0.25,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5112662445,NBA $750 Quarter Jukebox [Just $0.25!] ,189620275,$0.25,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5112662446,NBA $750 Quarter Jukebox [Just $0.25!] ,189620275,$0.25,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
5112662447,NBA $750 Quarter Jukebox [Just $0.25!] ,189620275,$0.25,,,,,,,,,,
5112662448,NBA $750 Quarter Jukebox [Just $0.25!] ,189620275,$0.25,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5112662459,NBA $750 Quarter Jukebox [Just $0.25!] ,189620275,$0.25,,,,,,,,,,C,Bam Adebayo (42606146),Bam Adebayo,42606146,C/UTIL,9200,ATL@MIA 04/12/2026 06:00PM ET,MIA,41.71
5112662460,NBA $750 Quarter Jukebox [Just $0.25!] ,189620275,$0.25,,,,,,,,,,PG,James Harden (42606148),James Harden,42606148,PG/G/UTIL,9100,WAS@CLE 04/12/2026 06:00PM ET,CLE,44.89
5112662461,NBA $750 Quarter Jukebox [Just $0.25!] ,189620275,$0.25,,,,,,,,,,PF/C,Evan Mobley (42606151),Evan Mobley,42606151,PF/C/F/UTIL,9000,WAS@CLE 04/12/2026 06:00PM ET,CLE,39.94
5112662462,NBA $750 Quarter Jukebox [Just $0.25!] ,189620275,$0.25,,,,,,,,,,PG,Ryan Rollins (42606155),Ryan Rollins,42606155,PG/G/UTIL,8900,MIL@PHI 04/12/2026 06:00PM ET,MIL,35.23
5112656105,NBA $4K mini-MAX [150 Entry Max],189620300,$0.50,,,,,,,,,,PG,LaMelo Ball (42606158),LaMelo Ball,42606158,PG/G/UTIL,8800,CHA@NYK 04/12/2026 06:00PM ET,CHA,40.39
5112656106,NBA $4K mini-MAX [150 Entry Max],189620300,$0.50,,,,,,,,,,PF,Paolo Banchero (42606161),Paolo Banchero,42606161,PF/F/UTIL,8700,ORL@BOS 04/12/2026 06:00PM ET,ORL,42.55
5112656107,NBA $4K mini-MAX [150 Entry Max],189620300,$0.50,,,,,,,,,,PF,Scottie Barnes (42606164),Scottie Barnes,42606164,PF/F/UTIL,8600,BKN@TOR 04/12/2026 06:00PM ET,TOR,40.87
5112656108,NBA $4K mini-MAX [150 Entry Max],189620300,$0.50,,,,,,,,,,SF/PF,Paul George (42606167),Paul George,42606167,SF/PF/F/UTIL,8500,MIL@PHI 04/12/2026 06:00PM ET,PHI,34.51
5112656109,NBA $4K mini-MAX [150 Entry Max],189620300,$0.50,,,,,,,,,,PF/C,Pascal Siakam (42606171),Pascal Siakam,42606171,PF/C/F/UTIL,8400,DET@IND 04/12/2026 06:00PM ET,IND,39.95
5112656089,NBA $200 And-One,189625345,$1,,,,,,,,,,C,Jalen Duren (42606175),Jalen Duren,42606175,C/UTIL,8100,DET@IND 04/12/2026 06:00PM ET,DET,38.11
5112656090,NBA $200 And-One,189625345,$1,,,,,,,,,,SG,Brandon Ingram (42606177),Brandon Ingram,42606177,SG/G/UTIL,8000,BKN@TOR 04/12/2026 06:00PM ET,TOR,35.70
,,,,,,,,,,,,,PF/C,Bobby Portis (42606180),Bobby Portis,42606180,PF/C/F/UTIL,7900,MIL@PHI 04/12/2026 06:00PM ET,MIL,26.34
,,,,,,,,,,,,,PG,Derrick White (42606184),Derrick White,42606184,PG/G/UTIL,7800,ORL@BOS 04/12/2026 06:00PM ET,BOS,35.36
,,,,,,,,,,,,,PG/SG,Tyler Herro (42606187),Tyler Herro,42606187,PG/SG/G/UTIL,7700,ATL@MIA 04/12/2026 06:00PM ET,MIA,35.25
,,,,,,,,,,,,,SF,RJ Barrett (42606191),RJ Barrett,42606191,SF/F/UTIL,7600,BKN@TOR 04/12/2026 06:00PM ET,TOR,32.92
,,,,,,,,,,,,,PG/SG,Payton Pritchard (42606194),Payton Pritchard,42606194,PG/SG/G/UTIL,7500,ORL@BOS 04/12/2026 06:00PM ET,BOS,32.18
,,,,,,,,,,,,,PG/SG,VJ Edgecombe (42606198),VJ Edgecombe,42606198,PG/SG/G/UTIL,7400,MIL@PHI 04/12/2026 06:00PM ET,PHI,33.41
,,,,,,,,,,,,,SG/SF,Ousmane Dieng (42606202),Ousmane Dieng,42606202,SG/SF/F/G/UTIL,7400,MIL@PHI 04/12/2026 06:00PM ET,MIL,16.34
,,,,,,,,,,,,,PG/SG,Nickeil Alexander-Walker (42606207),Nickeil Alexander-Walker,42606207,PG/SG/G/UTIL,7300,ATL@MIA 04/12/2026 06:00PM ET,ATL,34.92
,,,,,,,,,,,,,SG,Desmond Bane (42606211),Desmond Bane,42606211,SG/G/UTIL,7200,ORL@BOS 04/12/2026 06:00PM ET,ORL,34.68
,,,,,,,,,,,,,SF,Brandon Miller (42606214),Brandon Miller,42606214,SF/F/UTIL,7200,CHA@NYK 04/12/2026 06:00PM ET,CHA,35.16
,,,,,,,,,,,,,SF/PF,Will Riley (42606217),Will Riley,42606217,SF/PF/F/UTIL,7100,WAS@CLE 04/12/2026 06:00PM ET,WAS,18.52
,,,,,,,,,,,,,C,Alexandre Sarr (42606221),Alexandre Sarr,42606221,C/UTIL,7000,WAS@CLE 04/12/2026 06:00PM ET,WAS,35.24
,,,,,,,,,,,,,PF,OG Anunoby (42606223),OG Anunoby,42606223,PF/F/UTIL,6900,CHA@NYK 04/12/2026 06:00PM ET,NYK,31.63
,,,,,,,,,,,,,SF,Dyson Daniels (42606226),Dyson Daniels,42606226,SF/F/UTIL,6800,ATL@MIA 04/12/2026 06:00PM ET,ATL,33.64
,,,,,,,,,,,,,PG,Jalen Suggs (42606229),Jalen Suggs,42606229,PG/G/UTIL,6700,ORL@BOS 04/12/2026 06:00PM ET,ORL,31.65
,,,,,,,,,,,,,PG,Daniss Jenkins (42606232),Daniss Jenkins,42606232,PG/G/UTIL,6600,DET@IND 04/12/2026 06:00PM ET,DET,20.04
,,,,,,,,,,,,,SG/SF,Josh Hart (42606235),Josh Hart,42606235,SG/SF/F/G/UTIL,6600,CHA@NYK 04/12/2026 06:00PM ET,NYK,31.35
,,,,,,,,,,,,,SF,Franz Wagner (42606246),Franz Wagner,42606246,SF/F/UTIL,6500,ORL@BOS 04/12/2026 06:00PM ET,ORL,34.60
,,,,,,,,,,,,,PG,Immanuel Quickley (42606240),Immanuel Quickley,42606240,PG/G/UTIL,6500,BKN@TOR 04/12/2026 06:00PM ET,TOR,34.08
,,,,,,,,,,,,,C,Julian Reese (42606249),Julian Reese,42606249,C/UTIL,6500,WAS@CLE 04/12/2026 06:00PM ET,WAS,31.75
,,,,,,,,,,,,,PF,Kyle Kuzma (42606243),Kyle Kuzma,42606243,PF/F/UTIL,6500,MIL@PHI 04/12/2026 06:00PM ET,MIL,24.63
,,,,,,,,,,,,,SF,Jarace Walker (42606251),Jarace Walker,42606251,SF/F/UTIL,6400,DET@IND 04/12/2026 06:00PM ET,IND,24.21
,,,,,,,,,,,,,PG,Andrew Nembhard (42606256),Andrew Nembhard,42606256,PG/G/UTIL,6400,DET@IND 04/12/2026 06:00PM ET,IND,34.10
,,,,,,,,,,,,,C,Onyeka Okongwu (42606254),Onyeka Okongwu,42606254,C/UTIL,6400,ATL@MIA 04/12/2026 06:00PM ET,ATL,34.14
,,,,,,,,,,,,,SF,Bilal Coulibaly (42606268),Bilal Coulibaly,42606268,SF/F/UTIL,6300,WAS@CLE 04/12/2026 06:00PM ET,WAS,25.50
,,,,,,,,,,,,,C,Myles Turner (42606266),Myles Turner,42606266,C/UTIL,6300,MIL@PHI 04/12/2026 06:00PM ET,MIL,25.93
,,,,,,,,,,,,,PG/SG,CJ McCollum (42606262),CJ McCollum,42606262,PG/SG/G/UTIL,6300,ATL@MIA 04/12/2026 06:00PM ET,ATL,31.64
,,,,,,,,,,,,,SG,Kon Knueppel (42606259),Kon Knueppel,42606259,SG/G/UTIL,6300,CHA@NYK 04/12/2026 06:00PM ET,CHA,32.9
,,,,,,,,,,,,,PG,Bub Carrington (42606271),Bub Carrington,42606271,PG/G/UTIL,6200,WAS@CLE 04/12/2026 06:00PM ET,WAS,23.20
,,,,,,,,,,,,,C,Jericho Sims (42606274),Jericho Sims,42606274,C/UTIL,6200,MIL@PHI 04/12/2026 06:00PM ET,MIL,14.69
,,,,,,,,,,,,,C,Jarrett Allen (42606281),Jarrett Allen,42606281,C/UTIL,6100,WAS@CLE 04/12/2026 06:00PM ET,CLE,32.18
,,,,,,,,,,,,,SG/SF,Norman Powell (42606276),Norman Powell,42606276,SG/SF/F/G/UTIL,6100,ATL@MIA 04/12/2026 06:00PM ET,MIA,31.95
,,,,,,,,,,,,,SG/SF,Kelly Oubre Jr. (42606286),Kelly Oubre Jr.,42606286,SG/SF/F/G/UTIL,6000,MIL@PHI 04/12/2026 06:00PM ET,PHI,26.86
,,,,,,,,,,,,,PF,Miles Bridges (42606283),Miles Bridges,42606283,PF/F/UTIL,6000,CHA@NYK 04/12/2026 06:00PM ET,CHA,31.93
,,,,,,,,,,,,,C,Neemias Queta (42606294),Neemias Queta,42606294,C/UTIL,5900,ORL@BOS 04/12/2026 06:00PM ET,BOS,27.22
,,,,,,,,,,,,,SG/SF,Leaky Black (42606296),Leaky Black,42606296,SG/SF/F/G/UTIL,5900,WAS@CLE 04/12/2026 06:00PM ET,WAS,20.18
,,,,,,,,,,,,,SF,Mikal Bridges (42606291),Mikal Bridges,42606291,SF/F/UTIL,5900,CHA@NYK 04/12/2026 06:00PM ET,NYK,29.61
,,,,,,,,,,,,,C,Tristan Vukcevic (42606301),Tristan Vukcevic,42606301,C/UTIL,5800,WAS@CLE 04/12/2026 06:00PM ET,WAS,16.63
,,,,,,,,,,,,,PF,Andrew Wiggins (42606303),Andrew Wiggins,42606303,PF/F/UTIL,5700,ATL@MIA 04/12/2026 06:00PM ET,MIA,30.27
,,,,,,,,,,,,,C,Nic Claxton (42606309),Nic Claxton,42606309,C/UTIL,5600,BKN@TOR 04/12/2026 06:00PM ET,BKN,29.09
,,,,,,,,,,,,,SF,Ausar Thompson (42606306),Ausar Thompson,42606306,SF/F/UTIL,5600,DET@IND 04/12/2026 06:00PM ET,DET,27.02
,,,,,,,,,,,,,PG,Davion Mitchell (42606311),Davion Mitchell,42606311,PG/G/UTIL,5600,ATL@MIA 04/12/2026 06:00PM ET,MIA,24.70
,,,,,,,,,,,,,PF/C,Justin Champagnie (42606320),Justin Champagnie,42606320,PF/C/F/UTIL,5500,WAS@CLE 04/12/2026 06:00PM ET,WAS,20.38
,,,,,,,,,,,,,PG/SG,AJ Green (42606314),AJ Green,42606314,PG/SG/G/UTIL,5500,MIL@PHI 04/12/2026 06:00PM ET,MIL,18.78
,,,,,,,,,,,,,C,Moussa Diabate (42606318),Moussa Diabate,42606318,C/UTIL,5500,CHA@NYK 04/12/2026 06:00PM ET,CHA,25.09
,,,,,,,,,,,,,C,Nikola Vucevic (42606328),Nikola Vucevic,42606328,C/UTIL,5400,ORL@BOS 04/12/2026 06:00PM ET,BOS,33.72
,,,,,,,,,,,,,PG/SG,Quentin Grimes (42606324),Quentin Grimes,42606324,PG/SG/G/UTIL,5400,MIL@PHI 04/12/2026 06:00PM ET,PHI,25.18
,,,,,,,,,,,,,PG,Nolan Traore (42606335),Nolan Traore,42606335,PG/G/UTIL,5300,BKN@TOR 04/12/2026 06:00PM ET,BKN,18.67
,,,,,,,,,,,,,SG/SF,Jamir Watkins (42606338),Jamir Watkins,42606338,SG/SF/F/G/UTIL,5300,WAS@CLE 04/12/2026 06:00PM ET,WAS,17.04
,,,,,,,,,,,,,C,Jay Huff (42606330),Jay Huff,42606330,C/UTIL,5300,DET@IND 04/12/2026 06:00PM ET,IND,21.58
,,,,,,,,,,,,,PF,Tobias Harris (42606332),Tobias Harris,42606332,PF/F/UTIL,5300,DET@IND 04/12/2026 06:00PM ET,DET,26.11
,,,,,,,,,,,,,C,Wendell Carter Jr. (42606343),Wendell Carter Jr.,42606343,C/UTIL,5200,ORL@BOS 04/12/2026 06:00PM ET,ORL,26.98
,,,,,,,,,,,,,SF,Ziaire Williams (42606350),Ziaire Williams,42606350,SF/F/UTIL,5200,BKN@TOR 04/12/2026 06:00PM ET,BKN,18.54
,,,,,,,,,,,,,PF/C,Josh Minott (42606353),Josh Minott,42606353,PF/C/F/UTIL,5200,BKN@TOR 04/12/2026 06:00PM ET,BKN,15.89
,,,,,,,,,,,,,PG,Ben Saraf (42606357),Ben Saraf,42606357,PG/G/UTIL,5200,BKN@TOR 04/12/2026 06:00PM ET,BKN,16.04
,,,,,,,,,,,,,SG/SF,Jaime Jaquez Jr. (42606345),Jaime Jaquez Jr.,42606345,SG/SF/F/G/UTIL,5200,ATL@MIA 04/12/2026 06:00PM ET,MIA,29.99
,,,,,,,,,,,,,C,Jakob Poeltl (42606369),Jakob Poeltl,42606369,C/UTIL,5100,BKN@TOR 04/12/2026 06:00PM ET,TOR,25.28
,,,,,,,,,,,,,PF/C,Obi Toppin (42606375),Obi Toppin,42606375,PF/C/F/UTIL,5100,DET@IND 04/12/2026 06:00PM ET,IND,21.54
,,,,,,,,,,,,,SG/SF,Gary Trent Jr. (42606360),Gary Trent Jr.,42606360,SG/SF/F/G/UTIL,5100,MIL@PHI 04/12/2026 06:00PM ET,MIL,13.02
,,,,,,,,,,,,,SF/PF,Jonathan Kuminga (42606371),Jonathan Kuminga,42606371,SF/PF/F/UTIL,5100,ATL@MIA 04/12/2026 06:00PM ET,ATL,24.07
,,,,,,,,,,,,,PG/SG,Coby White (42606365),Coby White,42606365,PG/SG/G/UTIL,5100,CHA@NYK 04/12/2026 06:00PM ET,CHA,28.81
,,,,,,,,,,,,,PF/C,Anthony Gill (42606381),Anthony Gill,42606381,PF/C/F/UTIL,5000,WAS@CLE 04/12/2026 06:00PM ET,WAS,12.82
,,,,,,,,,,,,,SG/SF,Max Strus (42606392),Max Strus,42606392,SG/SF/F/G/UTIL,5000,WAS@CLE 04/12/2026 06:00PM ET,CLE,22.73
,,,,,,,,,,,,,PG/SG,Quenton Jackson (42606385),Quenton Jackson,42606385,PG/SG/G/UTIL,5000,DET@IND 04/12/2026 06:00PM ET,IND,17.23
,,,,,,,,,,,,,C,Andre Drummond (42606379),Andre Drummond,42606379,C/UTIL,5000,MIL@PHI 04/12/2026 06:00PM ET,PHI,21.53
,,,,,,,,,,,,,SF,Taurean Prince (42606389),Taurean Prince,42606389,SF/F/UTIL,5000,MIL@PHI 04/12/2026 06:00PM ET,MIL,17.82
,,,,,,,,,,,,,PG/SG,Malachi Smith (42606404),Malachi Smith,42606404,PG/SG/G/UTIL,4900,BKN@TOR 04/12/2026 06:00PM ET,BKN,19.61
,,,,,,,,,,,,,SF,Jalen Slawson (42606408),Jalen Slawson,42606408,SF/F/UTIL,4900,DET@IND 04/12/2026 06:00PM ET,IND,22.06
,,,,,,,,,,,,,SG,Cormac Ryan (42606411),Cormac Ryan,42606411,SG/G/UTIL,4900,MIL@PHI 04/12/2026 06:00PM ET,MIL,21.05
,,,,,,,,,,,,,SG/SF,Pelle Larsson (42606397),Pelle Larsson,42606397,SG/SF/F/G/UTIL,4900,ATL@MIA 04/12/2026 06:00PM ET,MIA,22.44
,,,,,,,,,,,,,C,Mitchell Robinson (42606402),Mitchell Robinson,42606402,C/UTIL,4900,CHA@NYK 04/12/2026 06:00PM ET,NYK,22.07
,,,,,,,,,,,,,C,E.J. Liddell (42606425),E.J. Liddell,42606425,C/UTIL,4800,BKN@TOR 04/12/2026 06:00PM ET,BKN,11.11
,,,,,,,,,,,,,SF/PF,Keon Ellis (42606414),Keon Ellis,42606414,SF/PF/F/UTIL,4800,WAS@CLE 04/12/2026 06:00PM ET,CLE,14.44
,,,,,,,,,,,,,PG,Dennis Schroder (42606418),Dennis Schroder,42606418,PG/G/UTIL,4800,WAS@CLE 04/12/2026 06:00PM ET,CLE,23.1
,,,,,,,,,,,,,PF/C,Isaiah Stewart (42606421),Isaiah Stewart,42606421,PF/C/F/UTIL,4800,DET@IND 04/12/2026 06:00PM ET,DET,21.51
,,,,,,,,,,,,,SF/PF,Sam Hauser (42606427),Sam Hauser,42606427,SF/PF/F/UTIL,4700,ORL@BOS 04/12/2026 06:00PM ET,BOS,18.83
,,,,,,,,,,,,,SG/SF,Ja'Kobe Walter (42606431),Ja'Kobe Walter,42606431,SG/SF/F/G/UTIL,4700,BKN@TOR 04/12/2026 06:00PM ET,TOR,15.41
,,,,,,,,,,,,,PF,Tre Scott (42606448),Tre Scott,42606448,PF/F/UTIL,4700,BKN@TOR 04/12/2026 06:00PM ET,BKN,22.7
,,,,,,,,,,,,,SG,Sam Merrill (42606442),Sam Merrill,42606442,SG/G/UTIL,4700,WAS@CLE 04/12/2026 06:00PM ET,CLE,22.24
,,,,,,,,,,,,,PG,Sharife Cooper (42606445),Sharife Cooper,42606445,PG/G/UTIL,4700,WAS@CLE 04/12/2026 06:00PM ET,WAS,15.54
,,,,,,,,,,,,,SF/PF,Kobe Brown (42606438),Kobe Brown,42606438,SF/PF/F/UTIL,4700,DET@IND 04/12/2026 06:00PM ET,IND,12.28
,,,,,,,,,,,,,C,Jock Landale (42606436),Jock Landale,42606436,C/UTIL,4700,ATL@MIA 04/12/2026 06:00PM ET,ATL,22.60
,,,,,,,,,,,,,SG/SF,Baylor Scheierman (42606451),Baylor Scheierman,42606451,SG/SF/F/G/UTIL,4600,ORL@BOS 04/12/2026 06:00PM ET,BOS,13.26
,,,,,,,,,,,,,PG/SG,Jaden Hardy (42606461),Jaden Hardy,42606461,PG/SG/G/UTIL,4600,WAS@CLE 04/12/2026 06:00PM ET,WAS,13.75
,,,,,,,,,,,,,SG,Duncan Robinson (42606458),Duncan Robinson,42606458,SG/G/UTIL,4600,DET@IND 04/12/2026 06:00PM ET,DET,21.50
,,,,,,,,,,,,,PF/C,Micah Potter (42606469),Micah Potter,42606469,PF/C/F/UTIL,4600,DET@IND 04/12/2026 06:00PM ET,IND,19.84
,,,,,,,,,,,,,SF/PF,Pete Nance (42606465),Pete Nance,42606465,SF/PF/F/UTIL,4600,MIL@PHI 04/12/2026 06:00PM ET,MIL,11.74
,,,,,,,,,,,,,C,Kel'el Ware (42606456),Kel'el Ware,42606456,C/UTIL,4600,ATL@MIA 04/12/2026 06:00PM ET,MIA,27.76
,,,,,,,,,,,,,SF/PF,Tristan da Silva (42606473),Tristan da Silva,42606473,SF/PF/F/UTIL,4500,ORL@BOS 04/12/2026 06:00PM ET,ORL,19.67
,,,,,,,,,,,,,PG/SG,Anthony Black (42606482),Anthony Black,42606482,PG/SG/G/UTIL,4500,ORL@BOS 04/12/2026 06:00PM ET,ORL,29.45
,,,,,,,,,,,,,C,Thomas Bryant (42606486),Thomas Bryant,42606486,C/UTIL,4500,WAS@CLE 04/12/2026 06:00PM ET,CLE,12.91
,,,,,,,,,,,,,SG/SF,Kevin Huerter (42606477),Kevin Huerter,42606477,SG/SF/F/G/UTIL,4500,DET@IND 04/12/2026 06:00PM ET,DET,21.15
,,,,,,,,,,,,,C,Goga Bitadze (42606492),Goga Bitadze,42606492,C/UTIL,4400,ORL@BOS 04/12/2026 06:00PM ET,ORL,16.92
,,,,,,,,,,,,,SF/PF,Noah Clowney (42606488),Noah Clowney,42606488,SF/PF/F/UTIL,4400,BKN@TOR 04/12/2026 06:00PM ET,BKN,22.99
,,,,,,,,,,,,,SG,Drake Powell (42606494),Drake Powell,42606494,SG/G/UTIL,4400,BKN@TOR 04/12/2026 06:00PM ET,BKN,12.40
,,,,,,,,,,,,,PF/C,Collin Murray-Boyles (42606497),Collin Murray-Boyles,42606497,PF/C/F/UTIL,4400,BKN@TOR 04/12/2026 06:00PM ET,TOR,21.19
,,,,,,,,,,,,,PG/SG,Tyson Etienne (42606501),Tyson Etienne,42606501,PG/SG/G/UTIL,4400,BKN@TOR 04/12/2026 06:00PM ET,BKN,12.46
,,,,,,,,,,,,,PG/SG,Tre Johnson (42606515),Tre Johnson,42606515,PG/SG/G/UTIL,4300,WAS@CLE 04/12/2026 06:00PM ET,WAS,20.69
,,,,,,,,,,,,,C,Paul Reed (42606513),Paul Reed,42606513,C/UTIL,4300,DET@IND 04/12/2026 06:00PM ET,DET,18.09
,,,,,,,,,,,,,SG,Ethan Thompson (42606519),Ethan Thompson,42606519,SG/G/UTIL,4300,DET@IND 04/12/2026 06:00PM ET,IND,13.76
,,,,,,,,,,,,,PF/C,Dominick Barlow (42606509),Dominick Barlow,42606509,PF/C/F/UTIL,4300,MIL@PHI 04/12/2026 06:00PM ET,PHI,18.58
,,,,,,,,,,,,,SF/PF,Sion James (42606505),Sion James,42606505,SF/PF/F/UTIL,4300,CHA@NYK 04/12/2026 06:00PM ET,CHA,14.54
,,,,,,,,,,,,,C,Luka Garza (42606525),Luka Garza,42606525,C/UTIL,4200,ORL@BOS 04/12/2026 06:00PM ET,BOS,15.84
,,,,,,,,,,,,,PF,Jordan Walsh (42606527),Jordan Walsh,42606527,PF/F/UTIL,4200,ORL@BOS 04/12/2026 06:00PM ET,BOS,13.84
,,,,,,,,,,,,,PG,Jamal Shead (42606522),Jamal Shead,42606522,PG/G/UTIL,4200,BKN@TOR 04/12/2026 06:00PM ET,TOR,19.07
,,,,,,,,,,,,,SF/PF,Jalen Wilson (42606530),Jalen Wilson,42606530,SF/PF/F/UTIL,4200,BKN@TOR 04/12/2026 06:00PM ET,BKN,11.17
,,,,,,,,,,,,,SG,Aaron Nesmith (42606534),Aaron Nesmith,42606534,SG/G/UTIL,4200,DET@IND 04/12/2026 06:00PM ET,IND,24.51
,,,,,,,,,,,,,C,Sandro Mamukelashvili (42606537),Sandro Mamukelashvili,42606537,C/UTIL,4100,BKN@TOR 04/12/2026 06:00PM ET,TOR,23.22
,,,,,,,,,,,,,SF/PF,Jaylon Tyson (42606542),Jaylon Tyson,42606542,SF/PF/F/UTIL,4100,WAS@CLE 04/12/2026 06:00PM ET,CLE,25.77
,,,,,,,,,,,,,PF,Ronald Holland II (42606539),Ronald Holland II,42606539,PF/F/UTIL,4100,DET@IND 04/12/2026 06:00PM ET,DET,17.92
,,,,,,,,,,,,,SG/SF,Caris LeVert (42606546),Caris LeVert,42606546,SG/SF/F/G/UTIL,4100,DET@IND 04/12/2026 06:00PM ET,DET,16.87
,,,,,,,,,,,,,PG,T.J. McConnell (42606551),T.J. McConnell,42606551,PG/G/UTIL,4100,DET@IND 04/12/2026 06:00PM ET,IND,21.79
,,,,,,,,,,,,,SG/SF,Taelon Peter (42606556),Taelon Peter,42606556,SG/SF/F/G/UTIL,4000,DET@IND 04/12/2026 06:00PM ET,IND,9.83
,,,,,,,,,,,,,PG/SG,Kam Jones (42606561),Kam Jones,42606561,PG/SG/G/UTIL,4000,DET@IND 04/12/2026 06:00PM ET,IND,11.95
,,,,,,,,,,,,,C,Adem Bona (42606554),Adem Bona,42606554,C/UTIL,4000,MIL@PHI 04/12/2026 06:00PM ET,PHI,13.82
,,,,,,,,,,,,,SG,Terance Mann (42606574),Terance Mann,42606574,SG/G/UTIL,3900,BKN@TOR 04/12/2026 06:00PM ET,BKN,17.37
,,,,,,,,,,,,,SF,Dean Wade (42606577),Dean Wade,42606577,SF/F/UTIL,3900,WAS@CLE 04/12/2026 06:00PM ET,CLE,16.03
,,,,,,,,,,,,,PF/C,Mouhamed Gueye (42606565),Mouhamed Gueye,42606565,PF/C/F/UTIL,3900,ATL@MIA 04/12/2026 06:00PM ET,ATL,12.95
,,,,,,,,,,,,,PG,Kasparas Jakucionis (42606580),Kasparas Jakucionis,42606580,PG/G/UTIL,3900,ATL@MIA 04/12/2026 06:00PM ET,MIA,14.89
